ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
39	Stop	Down	1.5132	9.4095	-2.0471	-0.0234	0.0396	0.0064	0.0
105	Stop	Down	1.5275	9.4191	-2.1501	-0.0545	0.0787	-0.0052	0.0
155	Stop	Down	1.4964	9.4598	-2.1932	-0.0594	0.0665	-0.0077	0.0
221	Stop	Down	1.7143	9.4694	-1.9681	-0.0802	0.0005	-0.0003	0.0
287	Stop	Down	1.5036	9.5436	-2.1477	-0.1071	0.0390	-0.0083	0.0
337	Stop	Down	1.4653	9.5939	-1.7287	-0.1254	-0.0013	0.0033	0.0
404	Stop	Down	1.6640	9.5963	-1.7095	-0.0906	0.0127	0.0052	0.0
469	Stop	Down	1.6185	9.6082	-1.7933	-0.0985	-0.0001	-0.0144	0.0
519	Stop	Down	1.4773	9.5388	-1.4030	-0.1981	0.0561	-0.0254	0.0
586	Stop	Down	1.4940	9.7208	-1.7191	-0.1187	0.0182	-0.0339	0.0
652	Stop	Down	1.3169	9.7543	-1.4318	-0.1504	0.1013	-0.0419	0.0
702	Stop	Down	1.3767	9.6609	-1.2881	-0.0771	0.1019	-0.0345	0.0
768	Stop	Down	1.4437	9.6154	-1.1205	-0.0448	0.1093	-0.0315	0.0
818	Stop	Down	1.3839	9.5675	-1.4366	-0.0484	0.0714	-0.0254	0.0
885	Stop	Down	1.3025	9.5579	-1.4677	-0.0716	0.0977	-0.0303	0.0
951	Stop	Down	1.4605	9.6298	-1.2283	-0.1688	0.0628	-0.0009	0.0
1001	Stop	Down	1.5036	9.6346	-1.1971	-0.1675	0.0757	-0.0003	0.0
1067	Stop	Down	1.5252	9.7232	-0.7901	-0.1859	0.1068	-0.0077	0.0
1117	Stop	Down	1.4557	9.7471	-0.7614	-0.1620	0.0922	-0.0046	0.0
1184	Stop	Down	1.4701	9.7926	-0.5076	-0.1370	0.0476	0.0039	0.0
1250	Stop	Down	1.3791	9.7567	-0.5842	-0.0887	0.0396	0.0027	0.0
1300	Stop	Down	1.4605	9.7184	-0.7111	-0.0747	0.0176	0.0082	0.0
1367	Stop	Down	1.5108	9.7040	-0.4884	-0.1193	0.0372	0.0076	0.0
1433	Stop	Down	1.4797	9.6417	-0.5722	-0.1016	0.0280	0.0027	0.0
1482	Stop	Down	1.3384	9.7279	-0.6919	-0.1168	0.0946	-0.0125	0.0
1548	Stop	Down	1.5036	9.7543	-0.3496	-0.1358	0.0103	0.0033	0.0
1615	Stop	Down	1.3791	9.7088	-0.2801	-0.1443	0.0243	0.0088	0.0
1664	Stop	Down	1.4821	9.7184	-0.0646	-0.1413	0.0017	0.0180	0.0
1731	Stop	Down	1.5108	9.7662	-0.2275	-0.1425	0.0158	0.0174	0.0
1797	Stop	Down	1.4964	9.7375	-0.0503	-0.2457	0.0628	0.0088	0.0
1847	Stop	Down	1.4222	9.7303	0.2658	-0.2366	0.0848	0.0015	0.0
1913	Stop	Down	1.4677	9.7758	0.5291	-0.2030	0.0347	0.0064	0.0
1963	Stop	Down	1.5563	9.7423	0.3400	-0.0985	-0.0001	0.0064	0.0
2029	Stop	Down	1.4677	9.6537	0.4310	-0.1431	0.0042	0.0125	0.0
2096	Stop	Down	1.5635	9.7016	0.3591	-0.1345	0.0463	-0.0052	0.0
2146	Stop	Down	1.5491	9.6801	0.5650	-0.1712	0.0482	-0.0003	0.0
2212	Stop	Down	1.3911	9.6801	0.7734	-0.1535	0.0518	-0.0064	0.0
2279	Stop	Down	1.4749	9.6801	0.7997	-0.1455	0.0524	0.0082	0.0
2328	Stop	Down	1.5946	9.6202	0.7039	-0.1040	-0.0074	-0.0034	0.0
2395	Stop	Down	1.4605	9.6657	0.8069	-0.1706	0.0390	-0.0077	0.0
2444	Stop	Down	1.5156	9.5532	1.0032	-0.1529	0.0353	-0.0089	0.0
2511	Stop	Down	1.4964	9.6944	0.9936	-0.1462	0.0408	-0.0089	0.0
2578	Stop	Down	1.4916	9.6250	1.4078	-0.1382	0.0213	-0.0168	0.0
2627	Stop	Down	1.4126	9.6537	1.2666	-0.1260	0.0347	-0.0284	0.0
2693	Stop	Down	1.4605	9.6465	1.5419	-0.1663	0.0036	-0.0125	0.0
2743	Stop	Down	1.4964	9.6705	1.5946	-0.1107	-0.0233	-0.0205	0.0
2809	Stop	Down	1.3671	9.5891	1.4150	-0.1547	-0.0001	-0.0046	0.0
2876	Stop	Down	1.4461	9.5915	1.7526	-0.1419	-0.0025	-0.0022	0.0
2926	Stop	Down	1.4557	9.6322	1.7981	-0.1407	0.0140	0.0082	0.0
2992	Stop	Down	1.4318	9.5939	1.7694	-0.1223	0.0305	0.0027	0.0
3042	Stop	Down	1.4677	9.5077	2.0687	-0.1058	0.0140	0.0204	0.0
3109	Stop	Down	1.5778	9.4334	2.0447	-0.1388	-0.0092	0.0424	0.0
3175	Stop	Down	1.4078	9.3975	1.6688	-0.1266	-0.0276	0.0192	0.0
3225	Stop	Down	1.4653	9.4646	2.1165	-0.2054	-0.0221	0.0388	0.0
3291	Stop	Down	1.6018	9.4310	2.3440	-0.1303	-0.0422	0.0131	0.0
3357	Stop	Down	1.5611	9.4478	2.4972	-0.1529	-0.0013	0.0156	0.0
3407	Stop	Down	1.4916	9.4143	2.3248	-0.1205	0.0323	0.0125	0.0
3474	Stop	Down	1.5874	9.4119	2.5140	-0.1315	0.0072	0.0290	0.0
3523	Stop	Down	1.5922	9.4287	2.4086	-0.1297	0.0243	0.0314	0.0
3590	Stop	Down	1.5587	9.2587	2.7630	-0.1242	0.0268	0.0192	0.0
3656	Stop	Down	1.5826	9.3520	2.6553	-0.1022	0.0036	0.0229	0.0
3706	Stop	Down	1.6401	9.2826	2.5978	-0.1242	0.0201	0.0137	0.0
3756	Stop	Down	1.5587	9.1988	2.8276	-0.1675	0.0787	0.0070	0.0
3822	Stop	Down	1.5994	9.2371	3.1269	-0.1877	0.0152	0.0259	0.0
3888	Stop	Down	1.7526	9.0456	3.0623	-0.1187	-0.0367	-0.0028	0.0
3955	Stop	Down	1.5587	9.1916	3.0096	-0.1810	0.0231	-0.0052	0.0
4005	Stop	Down	1.6808	9.1030	3.3568	-0.2066	0.0396	-0.0223	0.0
4071	Stop	Down	1.5922	9.1557	3.2251	-0.1608	0.0262	-0.0168	0.0
4138	Stop	Down	1.6616	8.9785	3.6225	-0.1895	0.0573	-0.0449	0.0
4187	Stop	Down	1.4821	8.9977	3.2275	-0.1779	0.0793	-0.0608	0.0
4254	Stop	Down	1.4485	9.0432	3.5100	-0.1126	0.0451	-0.0504	0.0
4303	Stop	Down	1.4174	9.0025	3.9960	-0.1633	0.0500	-0.0095	0.0
4370	Stop	Down	1.3240	8.9690	3.8117	-0.1254	0.0305	0.0039	0.0
4436	Stop	Down	1.4653	8.7894	4.0774	-0.1901	0.0439	0.0455	0.0
4486	Stop	Down	1.3935	8.8780	4.0296	-0.1394	0.0592	0.0498	0.0
4552	Stop	Down	1.4342	8.8061	4.3743	-0.1333	0.0097	0.0546	0.0
4602	Stop	Down	1.5635	8.8540	4.0822	-0.0832	-0.0129	0.0638	0.0
4669	Stop	Down	1.6688	8.7583	4.4414	-0.0863	0.0011	0.0388	0.0
4735	Stop	Down	1.4605	8.6505	3.8955	-0.1168	-0.0154	0.0192	0.0
4785	Stop	Down	1.5874	8.6912	4.5707	-0.1358	0.0121	0.0210	0.0
4851	Stop	Down	1.6018	8.6553	4.0487	-0.1248	0.0390	0.0125	0.0
4918	Stop	Down	1.5826	8.5954	4.4941	-0.1132	0.0433	0.0015	0.0
4967	Stop	Down	1.5012	8.6721	4.3719	-0.1101	-0.0092	0.0137	0.0
