ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
28	Stop	Left	1.3647	9.2994	2.8779	0.1049	0.1215	0.0504	0.0
95	Stop	Left	1.7789	9.3472	2.5427	0.0573	0.0763	0.0705	0.0
145	Stop	Left	1.6904	9.3377	2.5858	0.0713	0.0891	0.0449	0.0
210	Stop	Left	1.6401	9.3449	2.4829	0.0408	0.1349	0.0327	0.0
276	Stop	Left	1.6712	9.3760	2.4086	0.0090	0.1374	0.0149	0.0
327	Stop	Left	1.6018	9.3927	2.4158	0.0438	0.1203	0.0082	0.0
393	Stop	Left	1.5419	9.3113	2.4972	0.0395	0.1196	0.0388	0.0
443	Stop	Left	1.6353	9.3856	2.4110	0.0353	0.1380	0.0589	0.0
509	Stop	Left	1.6520	9.3736	2.5954	0.0114	0.1691	0.0443	0.0
576	Stop	Left	1.5180	9.3496	2.3703	-0.0008	0.1923	0.0253	0.0
625	Stop	Left	1.6185	9.3520	2.5116	0.0157	0.1392	0.0174	0.0
691	Stop	Left	1.5563	9.3664	2.6241	0.0652	0.1343	0.0418	0.0
759	Stop	Left	1.5515	9.3832	2.6433	0.0322	0.1630	0.0528	0.0
808	Stop	Left	1.5084	9.4406	2.5499	0.0872	0.1703	0.0540	0.0
874	Stop	Left	1.5611	9.4023	2.3679	0.0640	0.1710	0.0418	0.0
924	Stop	Left	1.5395	9.4310	2.3799	0.0670	0.2265	0.0363	0.0
990	Stop	Left	1.4653	9.4095	2.5164	0.0622	0.2155	0.0522	0.0
1057	Stop	Left	1.3384	9.3616	2.2841	0.0664	0.2265	0.0724	0.0
1107	Stop	Left	1.5754	9.3999	2.4422	0.0463	0.2473	0.0821	0.0
1173	Stop	Left	1.6329	9.4167	2.4829	0.0554	0.2241	0.0901	0.0
1223	Stop	Left	1.7023	9.3233	2.3177	0.0902	0.2717	0.0730	0.0
1289	Stop	Left	1.4581	9.3520	2.2027	0.0640	0.2656	0.0656	0.0
1356	Stop	Left	1.6784	9.3257	2.2746	0.0719	0.2424	0.1084	0.0
1405	Stop	Left	1.6904	9.3999	2.1860	0.0261	0.2803	0.1053	0.0
1472	Stop	Left	1.6832	9.3999	2.4589	0.0402	0.3182	0.1005	0.0
1538	Stop	Left	1.8005	9.4646	2.3416	0.0530	0.2711	0.0821	0.0
1588	Stop	Left	1.7933	9.3496	2.4541	0.0762	0.2620	0.0699	0.0
1655	Stop	Left	1.5946	9.3377	2.3847	0.0341	0.3108	0.0589	0.0
1704	Stop	Left	1.7167	9.3975	2.4062	0.0585	0.2223	0.0608	0.0
1771	Stop	Left	1.7430	9.3975	2.3608	0.0609	0.2467	0.0595	0.0
1837	Stop	Left	1.5922	9.4263	2.3464	0.0450	0.2595	0.0522	0.0
1887	Stop	Left	1.6042	9.4239	2.3991	0.0579	0.2546	0.0797	0.0
1953	Stop	Left	1.7191	9.4310	2.2626	0.0524	0.2760	0.0669	0.0
2003	Stop	Left	1.5682	9.4765	2.4039	0.0646	0.2809	0.0687	0.0
2070	Stop	Left	1.5491	9.4023	2.3943	0.0701	0.3151	0.0675	0.0
2136	Stop	Left	1.5611	9.3927	2.2267	0.0945	0.3176	0.0687	0.0
2186	Stop	Left	1.5060	9.3736	2.4062	0.0957	0.3420	0.0736	0.0
2252	Stop	Left	1.5850	9.4095	2.2075	0.1006	0.3267	0.0937	0.0
2319	Stop	Left	1.6975	9.3999	2.2937	0.0774	0.3432	0.0986	0.0
2368	Stop	Left	1.6018	9.4239	2.2626	0.0939	0.3872	0.0999	0.0
2435	Stop	Left	1.7095	9.3592	2.1692	0.0890	0.3964	0.0852	0.0
2485	Stop	Left	1.7143	9.4502	2.3153	0.0957	0.3487	0.0718	0.0
2551	Stop	Left	1.7215	9.4622	2.2937	0.0939	0.3683	0.0846	0.0
2618	Stop	Left	1.7215	9.4382	2.3009	0.0854	0.3389	0.0846	0.0
2667	Stop	Left	1.8101	9.4789	2.1955	0.0896	0.3353	0.0834	0.0
2734	Stop	Left	1.7263	9.4191	1.9346	0.0835	0.3249	0.0779	0.0
2784	Stop	Left	1.7478	9.3808	2.1525	0.0615	0.2956	0.0791	0.0
2850	Stop	Left	1.6209	9.4095	2.2626	0.0603	0.3341	0.0827	0.0
2916	Stop	Left	1.6281	9.3736	2.0399	0.0805	0.3585	0.0986	0.0
2966	Stop	Left	1.6377	9.4885	2.0256	0.0909	0.3237	0.0974	0.0
3032	Stop	Left	1.6688	9.5077	2.1141	0.0701	0.3096	0.0931	0.0
3099	Stop	Left	1.6592	9.4789	2.1764	0.0689	0.3286	0.0803	0.0
3148	Stop	Left	1.5706	9.4741	1.9705	0.0701	0.3646	0.0956	0.0
3215	Stop	Left	1.7358	9.3736	2.0184	0.0890	0.3780	0.0931	0.0
3265	Stop	Left	1.6401	9.3903	1.9585	0.0725	0.3787	0.0821	0.0
3331	Stop	Left	1.7023	9.4502	2.2698	0.0750	0.3310	0.0840	0.0
3398	Stop	Left	1.8005	9.5029	1.9825	0.0866	0.3102	0.0779	0.0
3447	Stop	Left	1.9082	9.4885	2.0902	0.0542	0.3096	0.0772	0.0
3513	Stop	Left	1.7885	9.4598	2.0734	0.0487	0.2944	0.0779	0.0
3563	Stop	Left	1.6951	9.4789	2.1213	0.0597	0.2827	0.0986	0.0
3630	Stop	Left	1.7742	9.4574	1.9178	0.0957	0.2656	0.0919	0.0
3696	Stop	Left	1.8556	9.4334	2.0280	0.0658	0.2388	0.0901	0.0
3746	Stop	Left	1.7885	9.4406	2.0327	0.0799	0.2479	0.0882	0.0
3812	Stop	Left	1.7526	9.4023	1.8795	0.0634	0.2766	0.0925	0.0
3879	Stop	Left	1.7885	9.3784	1.9705	0.0341	0.2821	0.0864	0.0
3928	Stop	Left	1.8987	9.4358	1.9681	0.0365	0.2754	0.0925	0.0
3995	Stop	Left	1.8460	9.4718	2.1046	0.0652	0.2925	0.1023	0.0
4046	Stop	Left	1.7789	9.5125	1.8795	0.0689	0.3334	0.1005	0.0
4111	Stop	Left	1.8220	9.5412	2.1094	0.0768	0.3383	0.0821	0.0
4177	Stop	Left	1.8508	9.4861	1.9537	0.0744	0.3628	0.0724	0.0
4227	Stop	Left	1.8915	9.4837	2.1429	0.0951	0.3579	0.0608	0.0
4294	Stop	Left	1.8939	9.4622	2.1261	0.1092	0.3408	0.0522	0.0
4343	Stop	Left	1.9082	9.4191	1.9274	0.1147	0.3334	0.0510	0.0
4410	Stop	Left	1.8819	9.3903	2.1716	0.1477	0.3249	0.0491	0.0
4477	Stop	Left	1.7957	9.4694	1.6018	0.1654	0.2724	0.0540	0.0
4526	Stop	Left	1.8651	9.4287	2.1189	0.0603	0.3432	0.0656	0.0
4592	Stop	Left	1.7478	9.4263	1.8532	0.0713	0.3524	0.0760	0.0
4659	Stop	Left	1.7526	9.4933	2.0615	0.0267	0.3738	0.0772	0.0
4708	Stop	Left	1.9058	9.5053	1.8196	0.0799	0.3347	0.0895	0.0
4775	Stop	Left	1.8532	9.4813	1.9370	0.0707	0.3609	0.0821	0.0
