ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
16	Stop	Right	-0.2131	9.7662	1.5108	-0.0270	-0.2841	-0.0180	0.0
70	Stop	Right	-0.6848	9.8931	1.1301	-0.0417	-0.2597	-0.0406	0.0
114	Stop	Right	-0.3448	9.6465	1.3983	0.0035	-0.3446	-0.0199	0.0
180	Stop	Right	-0.4980	9.7208	1.4390	0.0243	-0.3214	-0.0455	0.0
247	Stop	Right	-0.3998	9.6824	1.2594	0.0408	-0.3104	-0.0358	0.0
296	Stop	Right	-0.5076	9.7255	1.3767	0.0255	-0.3049	-0.0315	0.0
363	Stop	Right	-0.3783	9.7232	1.3815	0.0328	-0.3019	-0.0321	0.0
412	Stop	Right	-0.3879	9.6872	1.3336	0.0365	-0.3141	-0.0590	0.0
479	Stop	Right	-0.4741	9.6393	1.4485	0.0530	-0.3025	-0.0828	0.0
546	Stop	Right	-0.4836	9.7208	1.4054	0.0530	-0.3196	-0.0791	0.0
595	Stop	Right	-0.5866	9.8213	1.3743	0.0261	-0.3471	-0.0730	0.0
661	Stop	Right	-0.6776	9.8093	1.3959	0.0359	-0.3477	-0.0529	0.0
727	Stop	Right	-0.7039	9.7998	1.1708	0.0469	-0.3269	-0.0327	0.0
777	Stop	Right	-0.3831	9.6944	1.3911	0.0243	-0.3807	-0.0125	0.0
844	Stop	Right	-0.4453	9.7447	1.2235	0.0395	-0.3581	-0.0229	0.0
893	Stop	Right	-0.3735	9.7208	1.4701	0.0194	-0.3984	-0.0303	0.0
960	Stop	Right	-0.4334	9.7734	1.1181	0.0591	-0.4045	-0.0468	0.0
1026	Stop	Right	-0.3759	9.8453	1.4270	0.0713	-0.4362	-0.0498	0.0
1076	Stop	Right	-0.4621	9.7758	1.1588	0.0878	-0.4509	-0.0400	0.0
1142	Stop	Right	-0.5243	9.7399	1.3839	0.0505	-0.4656	-0.0559	0.0
1209	Stop	Right	-0.4669	9.6681	1.1971	0.0530	-0.4558	-0.0345	0.0
1258	Stop	Right	-0.2658	9.6465	1.1181	0.0463	-0.4430	-0.0125	0.0
1325	Stop	Right	-0.3352	9.6944	1.0032	0.0341	-0.4613	-0.0358	0.0
1391	Stop	Right	-0.2179	9.7399	1.5132	0.0053	-0.5493	-0.0687	0.0
1441	Stop	Right	-0.4525	9.8022	1.2642	0.0273	-0.5792	-0.0553	0.0
1508	Stop	Right	-0.4142	9.7279	1.1780	0.0402	-0.5749	-0.0254	0.0
1557	Stop	Right	-0.4238	9.7543	0.9817	0.0182	-0.5584	-0.0352	0.0
1624	Stop	Right	-0.4717	9.7471	1.2977	-0.0167	-0.5334	-0.0297	0.0
1690	Stop	Right	-0.5459	9.7830	1.4222	0.0078	-0.4943	-0.0486	0.0
1740	Stop	Right	-0.4525	9.7926	1.2331	0.0292	-0.4876	-0.0584	0.0
1807	Stop	Right	-0.3352	9.8453	1.1564	0.0383	-0.4485	-0.0480	0.0
1856	Stop	Right	-0.3137	9.7639	1.2115	0.0365	-0.3953	-0.0400	0.0
1923	Stop	Right	-0.3089	9.7734	1.1349	0.0267	-0.4130	-0.0529	0.0
1989	Stop	Right	-0.2442	9.7351	1.1732	0.0359	-0.4161	-0.0620	0.0
2039	Stop	Right	-0.3591	9.7926	1.0439	0.0420	-0.4240	-0.0633	0.0
2106	Stop	Right	-0.2466	9.8046	0.9984	0.0420	-0.4320	-0.0498	0.0
2155	Stop	Right	-0.1987	9.7543	0.9338	0.0286	-0.4619	-0.0492	0.0
2221	Stop	Right	-0.2442	9.7208	1.2283	0.0121	-0.4625	-0.0755	0.0
2288	Stop	Right	-0.4860	9.8022	0.9936	-0.0087	-0.4472	-0.0883	0.0
2338	Stop	Right	-0.4405	9.8022	1.1038	0.0029	-0.4595	-0.0810	0.0
2404	Stop	Right	-0.5004	9.7854	1.0152	0.0133	-0.4173	-0.0724	0.0
2471	Stop	Right	-0.5603	9.6465	1.0870	0.0188	-0.4136	-0.0742	0.0
2520	Stop	Right	-0.6441	9.7088	0.9817	0.0389	-0.3715	-0.0895	0.0
2587	Stop	Right	-0.8141	9.8165	1.0295	0.0188	-0.3562	-0.0895	0.0
2637	Stop	Right	-0.7374	9.7232	0.7973	0.0341	-0.2646	-0.0309	0.0
2703	Stop	Right	-0.8500	9.7160	1.2283	-0.0319	-0.2237	-0.0217	0.0
2769	Stop	Right	-0.6417	9.7734	1.1133	-0.0258	-0.1400	0.0033	0.0
2819	Stop	Right	-0.6608	9.7974	1.2618	-0.0203	-0.1143	-0.0052	0.0
2886	Stop	Right	-0.6369	9.7854	1.0583	0.0072	-0.0795	-0.0174	0.0
2935	Stop	Right	-0.8260	9.7902	1.0990	-0.0118	-0.0184	-0.0095	0.0
3002	Stop	Right	-0.6201	9.7878	1.0631	-0.0154	0.0017	0.0223	0.0
3068	Stop	Right	-0.3711	9.7279	1.1852	-0.0228	0.0085	0.0174	0.0
3118	Stop	Right	-0.1580	9.6992	1.1277	-0.0142	-0.0129	-0.0046	0.0
3184	Stop	Right	-0.0407	9.6992	1.1540	-0.0252	-0.0862	-0.0559	0.0
3234	Stop	Right	-0.2658	9.8524	1.1493	-0.0020	-0.1901	-0.0718	0.0
3300	Stop	Right	-0.3711	9.8285	1.2881	-0.0008	-0.2334	-0.0547	0.0
3367	Stop	Right	-0.4693	9.8213	1.1828	0.0267	-0.2750	-0.0211	0.0
3417	Stop	Right	-0.3400	9.7710	1.1325	0.0365	-0.3116	-0.0290	0.0
3483	Stop	Right	-0.5004	9.7327	1.0870	0.0365	-0.3269	-0.0144	0.0
3550	Stop	Right	-0.4190	9.7902	1.1157	0.0267	-0.3556	-0.0107	0.0
3599	Stop	Right	-0.4358	9.7854	1.1588	0.0310	-0.3513	-0.0180	0.0
3666	Stop	Right	-0.3903	9.8141	0.9745	0.0334	-0.3953	-0.0449	0.0
3716	Stop	Right	-0.3280	9.7782	0.9457	0.0261	-0.3929	-0.0468	0.0
3782	Stop	Right	-0.3400	9.8500	1.2259	0.0047	-0.4265	-0.0639	0.0
3849	Stop	Right	-0.3065	9.7351	1.1085	0.0524	-0.4424	-0.0437	0.0
3898	Stop	Right	-0.5579	9.8860	1.2115	0.0353	-0.4821	-0.0449	0.0
3965	Stop	Right	-0.4789	9.7686	1.0391	0.0518	-0.5108	-0.0187	0.0
4014	Stop	Right	-0.2299	9.7495	0.8835	0.0212	-0.5981	-0.0022	0.0
4081	Stop	Right	-0.3137	9.7926	1.1157	-0.0154	-0.6201	-0.0339	0.0
4147	Stop	Right	-0.2490	9.7184	1.2259	0.0029	-0.6128	-0.0535	0.0
4197	Stop	Right	-0.5052	9.7615	1.0774	0.0450	-0.5144	-0.0956	0.0
4263	Stop	Right	-0.3113	9.6417	1.1804	0.0573	-0.5835	-0.0834	0.0
4330	Stop	Right	-0.5004	9.6848	0.8595	0.0420	-0.7014	-0.0553	0.0
4379	Stop	Right	-0.3304	9.6920	1.3384	-0.0221	-0.7368	-0.0492	0.0
4446	Stop	Right	-0.2562	9.6992	1.1947	-0.0264	-0.6409	-0.0816	0.0
4496	Stop	Right	-0.4238	9.7662	1.0343	-0.0283	-0.6360	-0.1078	0.0
4562	Stop	Right	-0.3951	9.7112	1.3647	-0.0368	-0.6500	-0.0596	0.0
4629	Stop	Right	-0.4429	9.8405	1.2714	-0.0625	-0.5749	-0.0596	0.0
4679	Stop	Right	-0.3448	9.7734	1.4222	-0.0399	-0.5413	-0.0730	0.0
4745	Stop	Right	-0.3544	9.7806	1.1995	-0.0014	-0.4992	-0.0639	0.0
4812	Stop	Right	-0.2682	9.7495	1.1900	-0.0160	-0.4869	-0.0608	0.0
4861	Stop	Right	-0.2682	9.7615	1.1684	-0.0289	-0.4906	-0.0779	0.0
4927	Stop	Right	-0.2466	9.6992	1.2283	-0.0313	-0.4931	-0.0840	0.0
4977	Stop	Right	-0.1963	9.7878	1.1947	-0.0386	-0.5511	-0.0859	0.0
