ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
30020	Stop	Stop	0.1748	9.3616	-0.0479	0.1060	-0.2596	0.0467	0.0
37	Stop	Stop	0.5435	9.4358	2.1309	0.1200	-0.2321	0.0956	0.0
115	Stop	Stop	-0.1293	9.5819	0.8619	-0.3534	-0.0684	0.1041	0.0
164	Stop	Stop	-0.3137	9.7040	1.7047	-0.0669	0.1271	0.0033	0.0
231	Stop	Stop	-0.3065	9.8405	1.2091	-0.1445	-0.2083	-0.0180	0.0
280	Stop	Stop	-0.1341	9.7040	1.4940	0.0315	-0.2211	0.0663	0.0
347	Stop	Stop	-0.2011	9.6777	1.3001	0.0315	-0.2028	0.0791	0.0
415	Stop	Stop	-0.1101	9.8596	1.6880	0.0376	-0.2077	0.0058	0.0
463	Stop	Stop	-0.3855	9.7854	1.2714	0.0651	-0.1753	-0.0669	0.0
533	Stop	Stop	-0.3807	9.7782	1.1062	0.0559	-0.1955	-0.0657	0.0
580	Stop	Stop	-0.4022	9.6705	1.3001	0.0021	-0.1796	-0.0449	0.0
646	Stop	Stop	-0.4884	9.8333	1.1373	0.0571	-0.2107	-0.0370	0.0
714	Stop	Stop	-0.4884	9.8022	1.4845	0.0015	-0.2278	-0.0425	0.0
764	Stop	Stop	-0.5603	9.7854	1.3504	0.0480	-0.2443	-0.0443	0.0
828	Stop	Stop	-0.5555	9.8381	0.9338	0.1567	-0.2138	-0.0492	0.0
878	Stop	Stop	-0.5938	9.7974	0.9481	0.0638	-0.2052	-0.0443	0.0
946	Stop	Stop	-0.6488	9.7758	0.9577	0.0742	-0.2175	-0.0358	0.0
1014	Stop	Stop	-0.6105	9.8069	0.9649	0.0693	-0.2193	-0.0193	0.0
1061	Stop	Stop	-0.6848	9.8764	1.0271	0.1072	-0.1900	-0.0168	0.0
1127	Stop	Stop	-0.5770	9.8692	0.8715	0.1329	-0.1069	-0.0003	0.0
1194	Stop	Stop	-0.6177	9.7878	0.9314	0.1481	-0.1332	0.0046	0.0
1245	Stop	Stop	-0.5148	9.7639	0.7350	0.1145	-0.0666	-0.0046	0.0
1313	Stop	Stop	-0.7374	9.6824	0.6800	0.1084	-0.0861	-0.0046	0.0
1363	Stop	Stop	-0.4669	9.8620	0.6058	0.0932	-0.0727	0.0333	0.0
1428	Stop	Stop	-0.2682	9.9195	0.5818	0.0840	-0.1478	0.0198	0.0
1497	Stop	Stop	-0.4382	9.8213	0.6177	0.0712	-0.0800	0.0119	0.0
1544	Stop	Stop	-0.5028	9.8764	0.4597	0.0779	-0.0391	-0.0113	0.0
1609	Stop	Stop	-0.3687	9.6705	0.4812	0.0852	-0.0770	-0.0095	0.0
1659	Stop	Stop	-0.5124	9.8069	0.2969	0.0620	-0.0531	0.0082	0.0
1725	Stop	Stop	-0.4980	9.7806	0.4789	0.0351	-0.0391	-0.0089	0.0
1793	Stop	Stop	-0.4789	9.7255	0.2418	0.0449	-0.0806	-0.0138	0.0
1841	Stop	Stop	-0.5435	9.7686	0.4621	-0.0003	-0.0592	-0.0553	0.0
1909	Stop	Stop	-0.5770	9.7184	0.4118	-0.0009	-0.0495	-0.0626	0.0
1957	Stop	Stop	-0.5986	9.7615	0.3232	-0.0125	-0.0244	-0.0602	0.0
2025	Stop	Stop	-0.5962	9.8165	0.3113	-0.0363	0.0024	-0.0516	0.0
2091	Stop	Stop	-0.6848	9.8620	0.5459	-0.0308	-0.0458	-0.0571	0.0
2142	Stop	Stop	-0.9840	9.8812	0.6680	-0.0174	-0.0770	-0.0443	0.0
2206	Stop	Stop	-0.8763	9.7471	0.5938	0.0046	-0.0403	0.0369	0.0
2257	Stop	Stop	-0.6608	9.8141	0.4621	-0.0125	0.0049	0.1536	0.0
2323	Stop	Stop	-0.4286	9.7399	0.2777	-0.0333	-0.0067	0.1872	0.0
2391	Stop	Stop	-0.4836	9.8788	0.4980	-0.0217	-0.0183	0.1444	0.0
2441	Stop	Stop	-0.3783	9.8644	0.4501	-0.0693	-0.0085	0.1408	0.0
2505	Stop	Stop	-0.3544	9.8093	0.5794	-0.0596	0.0257	0.1292	0.0
2573	Stop	Stop	-0.1317	9.9147	0.8069	-0.0418	0.0880	0.1273	0.0
2621	Stop	Stop	-0.0072	9.8764	0.7255	-0.0596	0.1387	0.1603	0.0
2689	Stop	Stop	0.1844	9.8381	0.6273	0.0290	0.0696	0.1377	0.0
2755	Stop	Stop	0.1053	9.8213	0.5315	0.0302	0.0867	0.1127	0.0
2805	Stop	Stop	0.2753	9.8213	0.4980	0.0089	0.1112	0.0925	0.0
2872	Stop	Stop	0.1724	9.8812	0.5842	0.0089	0.0929	0.0711	0.0
2921	Stop	Stop	0.1748	9.8405	0.6656	-0.0339	0.1191	0.0950	0.0
2989	Stop	Stop	0.3280	9.7974	0.6201	-0.0412	0.1387	0.0974	0.0
3055	Stop	Stop	0.3400	9.8022	0.6177	-0.0345	0.1796	0.1194	0.0
3103	Stop	Stop	0.4334	9.8117	0.7015	-0.0321	0.1662	0.1108	0.0
3170	Stop	Stop	0.4597	9.7782	0.7566	-0.0370	0.2132	0.0858	0.0
3219	Stop	Stop	0.4453	9.8548	0.8883	-0.0144	0.1857	0.0473	0.0
3285	Stop	Stop	0.5243	9.8237	0.8428	-0.0009	0.1973	0.0388	0.0
3336	Stop	Stop	0.4621	9.8381	0.7135	0.0266	0.1533	0.0259	0.0
3402	Stop	Stop	0.5076	9.8093	0.7901	-0.0003	0.1967	0.0314	0.0
3469	Stop	Stop	0.5435	9.7040	0.7087	0.0357	0.1338	0.0357	0.0
3518	Stop	Stop	0.4597	9.7399	0.7374	0.0027	0.1882	0.0229	0.0
3584	Stop	Stop	0.4453	9.8668	0.7470	0.0137	0.1778	0.0052	0.0
3651	Stop	Stop	0.4956	9.8955	0.6536	0.0229	0.1478	0.0162	0.0
3702	Stop	Stop	0.5746	9.8357	0.7805	0.0223	0.1338	0.0369	0.0
3767	Stop	Stop	0.6249	9.7519	0.6728	0.0321	0.1662	0.0351	0.0
3818	Stop	Stop	0.6201	9.7543	0.6417	0.0351	0.1478	0.0259	0.0
3883	Stop	Stop	0.5339	9.8309	0.6560	-0.0034	0.1851	-0.0132	0.0
3953	Stop	Stop	0.5291	9.7806	0.5866	-0.0119	0.1778	-0.0333	0.0
3999	Stop	Stop	0.5315	9.7519	0.7326	-0.0345	0.2150	-0.0779	0.0
4067	Stop	Stop	0.4645	9.8381	0.8739	-0.0278	0.2089	-0.1304	0.0
4132	Stop	Stop	0.0838	9.9698	0.8093	-0.0455	0.2169	-0.2392	0.0
4181	Stop	Stop	-0.0646	9.9195	0.8835	0.0082	0.0977	-0.1518	0.0
4251	Stop	Stop	0.0742	9.8884	0.9074	-0.0052	0.1827	-0.0657	0.0
4315	Stop	Stop	0.0623	9.7639	0.8021	0.0095	0.1613	-0.0742	0.0
4365	Stop	Stop	-0.1413	9.8644	0.6345	0.0486	0.1411	-0.1439	0.0
4432	Stop	Stop	-0.2179	9.7519	0.6848	0.0315	0.1148	-0.2184	0.0
4481	Stop	Stop	-0.3280	9.8668	0.9577	0.0021	0.1326	-0.2520	0.0
4548	Stop	Stop	-0.5650	9.7686	0.5722	0.0211	0.1454	-0.2551	0.0
4597	Stop	Stop	-0.7542	9.7112	0.5579	0.0406	0.1173	-0.1897	0.0
4663	Stop	Stop	-0.8260	9.7830	0.5483	0.0021	0.1197	-0.1640	0.0
4731	Stop	Stop	-0.9026	9.7758	0.6105	-0.0107	0.0519	-0.1610	0.0
4779	Stop	Stop	-0.9936	9.7279	0.7207	-0.0394	0.0342	-0.1659	0.0
4847	Stop	Stop	-1.1038	9.7279	0.7350	-0.0321	0.0501	-0.1213	0.0
4895	Stop	Stop	-1.1349	9.7615	0.6369	-0.0260	0.0758	-0.1127	0.0
4962	Stop	Stop	-1.1253	9.6992	0.7255	-0.0321	0.0220	-0.1072	0.0
5029	Stop	Stop	-1.3001	9.7950	0.6105	-0.0382	0.0281	-0.0987	0.0
5094	Stop	Stop	-1.3216	9.6944	0.7829	-0.0211	0.0110	-0.0669	0.0
5145	Stop	Stop	-1.3001	9.6226	0.6584	-0.0180	-0.0122	-0.0217	0.0
5214	Stop	Stop	-1.3169	9.6801	0.7518	-0.0498	0.0360	-0.0150	0.0
