ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
2804	Stop	Typing	-0.2155	9.3975	2.5547	-0.1082	-0.1937	-0.0299	0.0
2804	Stop	Typing	-0.3567	9.4334	2.9713	-0.1430	-0.1192	0.0110	0.0
2804	Stop	Typing	-0.0670	9.4526	2.3416	-0.0092	-0.0123	0.0324	0.0
122	Stop	Typing	-0.3663	9.6058	3.0240	-0.0013	-0.0038	0.0165	0.0
206	Stop	Typing	-0.1461	9.3281	2.4326	0.0488	0.0714	0.0513	0.0
272	Stop	Typing	0.6321	8.5380	2.7271	0.0018	0.0634	0.0275	0.0
321	Stop	Typing	-1.0200	9.8788	2.6409	0.1087	0.2949	-0.2059	0.0
388	Stop	Typing	-0.2753	9.3185	2.7367	0.0464	-0.0838	0.0513	0.0
456	Stop	Typing	-0.2921	9.4694	2.2674	0.0464	-0.0587	0.1075	0.0
504	Stop	Typing	-0.4094	9.6106	2.6361	0.0580	-0.0154	0.0025	0.0
570	Stop	Typing	-0.2873	9.4287	2.3057	0.0115	0.0188	-0.0049	0.0
627	Stop	Typing	-0.4453	9.4741	2.4206	0.0244	-0.0239	-0.0476	0.0
686	Stop	Typing	-0.2538	9.5867	2.0136	0.0109	0.0915	-0.0189	0.0
753	Stop	Typing	-0.4429	9.5029	2.5906	-0.0062	-0.0404	0.0049	0.0
803	Stop	Typing	-0.3304	9.4813	2.5619	-0.0239	-0.0563	0.0098	0.0
870	Stop	Typing	-0.4501	9.5771	2.0998	-0.0434	-0.1052	-0.0171	0.0
939	Stop	Typing	-0.3017	9.3903	2.5475	-0.0465	0.0598	0.0141	0.0
986	Stop	Typing	-0.3328	9.4143	2.4469	-0.0929	0.0524	0.0061	0.0
1058	Stop	Typing	-0.3615	9.5316	2.7343	-0.0502	0.0274	0.0000	0.0
1104	Stop	Typing	-0.3304	9.4287	3.0742	-0.1632	-0.1033	-0.0165	0.0
1168	Stop	Typing	-0.4501	9.5268	2.5810	-0.0062	-0.1485	-0.0550	0.0
1218	Stop	Typing	-0.5938	9.6465	2.9474	0.0525	-0.0997	-0.0476	0.0
1285	Stop	Typing	-0.6536	9.3784	2.8061	-0.0215	-0.1773	-0.0073	0.0
1350	Stop	Typing	0.2610	9.2706	2.4924	0.2235	-0.4149	0.2028	0.0
1415	Stop	Typing	-0.0359	9.8093	1.5826	0.0702	-0.2884	0.1197	0.0
1468	Stop	Typing	0.2610	9.5915	2.0567	-0.0581	0.2534	0.0751	0.0
1532	Stop	Typing	-0.4908	9.2754	3.6920	0.0378	0.0781	0.0984	0.0
1588	Stop	Typing	0.5172	9.4765	1.0966	-0.0233	-0.0313	-0.0171	0.0
1651	Stop	Typing	-0.0120	9.2874	1.8627	0.0005	-0.0160	-0.0464	0.0
1700	Stop	Typing	-0.1341	9.5484	3.4382	0.0030	0.0066	0.0513	0.0
1767	Stop	Typing	0.1676	9.7088	2.4015	0.1050	0.1221	-0.0116	0.0
1816	Stop	Typing	-0.1197	9.3784	2.3895	-0.0153	-0.0416	-0.0043	0.0
1881	Stop	Typing	-0.2562	9.6202	2.9761	0.0158	-0.1846	0.0061	0.0
1947	Stop	Typing	-0.0862	9.6585	2.6122	0.0696	-0.1174	-0.0085	0.0
1997	Stop	Typing	0.2203	9.3496	1.2977	-0.0703	0.1514	-0.0159	0.0
2067	Stop	Typing	0.1580	9.5005	2.8516	0.0763	0.0256	0.0666	0.0
2130	Stop	Typing	-0.0670	9.5005	2.5116	-0.0575	0.1752	-0.0489	0.0
2180	Stop	Typing	-0.1101	9.4670	3.1485	-0.0056	0.1013	0.0031	0.0
2246	Stop	Typing	-0.0670	9.4550	2.2913	-0.0520	-0.0429	-0.0092	0.0
2313	Stop	Typing	-0.0838	9.4119	2.3608	-0.0178	-0.0001	-0.0232	0.0
2363	Stop	Typing	0.1868	9.6417	2.7582	0.0867	-0.0105	0.0348	0.0
2428	Stop	Typing	-0.1580	9.5771	3.1796	-0.0789	-0.0887	-0.0073	0.0
2479	Stop	Typing	-0.2945	9.6561	2.7007	-0.0007	0.0323	-0.0293	0.0
2545	Stop	Typing	0.0599	9.5077	2.0902	0.0140	-0.0606	-0.0092	0.0
2611	Stop	Typing	0.1461	9.7734	3.1988	0.0384	-0.0233	-0.0067	0.0
2662	Stop	Typing	-0.0982	9.3544	2.2482	0.2394	0.2626	0.0580	0.0
2728	Stop	Typing	0.1963	9.6465	1.4030	0.1740	0.5228	0.0806	0.0
2794	Stop	Typing	-0.3089	9.5388	2.0160	0.0317	0.3261	0.0055	0.0
2844	Stop	Typing	-0.3448	9.5340	2.8899	0.1575	0.2412	0.0031	0.0
2910	Stop	Typing	-0.2179	9.5436	2.3799	-0.1729	0.0182	-0.0269	0.0
2960	Stop	Typing	-0.4980	9.6777	2.2291	0.0073	-0.0471	-0.0935	0.0
3026	Stop	Typing	-0.4382	9.5172	2.6696	-0.0025	-0.1339	-0.0391	0.0
3076	Stop	Typing	0.1149	9.7447	2.7606	-0.0581	-0.1504	0.0177	0.0
3127	Stop	Typing	-0.7303	9.6657	1.5491	0.2577	0.3841	0.0782	0.0
3209	Stop	Typing	-0.3208	9.5412	1.8987	0.1410	0.0384	0.0904	0.0
3259	Stop	Typing	-0.3208	9.5101	2.1261	-0.1119	-0.1803	-0.0910	0.0
3326	Stop	Typing	-0.3687	9.7591	1.4054	0.0286	-0.2017	-0.0812	0.0
3375	Stop	Typing	-0.5076	9.4502	2.6361	-0.1650	-0.2102	-0.0757	0.0
3441	Stop	Typing	-0.2658	9.5148	2.2554	-0.1528	-0.3837	-0.0800	0.0
3508	Stop	Typing	0.2801	9.5460	1.5132	-0.0599	-0.7429	-0.0037	0.0
3557	Stop	Typing	0.0790	9.6561	2.3560	-0.0147	-0.3709	0.0916	0.0
3624	Stop	Typing	-0.0263	9.5005	2.2913	0.0231	0.0775	-0.0165	0.0
3690	Stop	Typing	-0.0527	9.5053	2.6241	0.1264	0.2442	-0.0165	0.0
3740	Stop	Typing	0.1484	9.4263	1.5611	0.0592	0.0359	-0.0116	0.0
3806	Stop	Typing	-0.3137	9.4215	1.9920	0.0635	0.7580	0.0550	0.0
3872	Stop	Typing	-1.1660	9.5699	2.5691	0.0757	0.3322	0.0483	0.0
3922	Stop	Typing	0.2011	9.5220	0.4190	0.0146	0.1221	-0.0269	0.0
