ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
38	Stop	Up	-0.0287	4.3696	8.3895	0.1480	-0.1318	0.0277	0.0
88	Stop	Up	-0.2490	4.4797	9.2491	0.1193	-0.0078	0.0185	0.0
153	Stop	Up	-0.3711	4.7550	8.4398	0.1657	-0.0677	-0.0243	0.0
203	Stop	Up	-0.5100	4.7191	9.0767	0.1675	0.0264	-0.0163	0.0
269	Stop	Up	-0.5674	4.9753	8.2698	0.3276	0.0056	-0.0047	0.0
335	Stop	Up	-0.5579	4.9490	8.8301	0.2696	0.0356	-0.0114	0.0
386	Stop	Up	-0.6632	5.1525	8.0184	0.3343	-0.0072	-0.0017	0.0
452	Stop	Up	-0.5052	5.2099	8.4015	0.2665	-0.0939	0.0148	0.0
519	Stop	Up	-0.4118	5.4566	7.7814	0.3374	-0.1171	0.0173	0.0
567	Stop	Up	-0.3783	5.5284	7.8939	0.2103	-0.0854	0.0240	0.0
634	Stop	Up	-0.4525	5.6313	8.1142	0.2305	0.0411	0.0136	0.0
684	Stop	Up	-0.2969	5.8133	7.8365	0.2103	-0.0884	0.0203	0.0
750	Stop	Up	-0.4789	5.8779	7.7407	0.2518	0.0264	0.0130	0.0
816	Stop	Up	-0.5004	6.0072	7.8820	0.2134	0.0454	0.0136	0.0
866	Stop	Up	-0.3783	6.1198	7.5731	0.2702	-0.0585	0.0307	0.0
932	Stop	Up	-0.2658	6.3161	7.3624	0.3636	-0.0964	0.0399	0.0
983	Stop	Up	-0.2059	6.4167	7.2977	0.2354	-0.0139	0.0552	0.0
1049	Stop	Up	-0.1101	6.4717	7.1110	0.2818	0.0270	0.0283	0.0
1115	Stop	Up	-0.1532	6.6776	7.1110	0.1877	0.0209	-0.0029	0.0
1165	Stop	Up	-0.3160	6.7112	7.3241	0.2152	0.0826	-0.0059	0.0
1231	Stop	Up	-0.4908	6.8021	7.4007	0.1645	0.0979	-0.0334	0.0
1299	Stop	Up	-0.3974	6.8548	6.8285	0.2922	-0.0188	-0.0322	0.0
