ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
31	Walk	Forward	-0.2442	9.9865	2.7678	0.0090	-0.0573	-0.0626	0.0
64	Walk	Forward	-0.2586	10.1733	1.9154	0.1281	-0.1220	-0.0351	0.0
131	Walk	Forward	-0.4238	10.2523	2.4230	0.1807	-0.0536	0.0571	0.0
197	Walk	Forward	0.7422	9.7303	2.2578	0.2503	-0.1098	0.0656	0.0
247	Walk	Forward	0.3065	9.2227	1.8292	0.0988	-0.0683	-0.2349	0.0
313	Walk	Forward	-0.7039	8.8756	2.2746	-0.0680	-0.0408	-0.1610	0.0
363	Walk	Forward	-0.4310	9.2682	1.7167	-0.0295	-0.0298	-0.0260	0.0
429	Walk	Forward	0.2011	9.4741	1.8268	-0.0393	-0.0542	0.0339	0.0
497	Walk	Forward	0.0096	9.4047	1.8556	-0.1022	-0.0084	-0.0553	0.0
548	Walk	Forward	-0.3328	9.6920	2.0854	-0.0887	-0.0066	-0.0480	0.0
614	Walk	Forward	0.0359	9.6968	2.3919	-0.0423	-0.0481	0.0375	0.0
681	Walk	Forward	0.0551	9.6992	1.7957	0.0854	0.0295	0.0516	0.0
729	Walk	Forward	-0.2370	9.6729	1.9442	0.0475	0.0991	0.0033	0.0
799	Walk	Forward	-0.3831	9.8357	1.6449	0.1092	0.1303	0.0815	0.0
844	Walk	Forward	0.1724	9.9386	2.0615	0.1287	0.0973	0.1273	0.0
912	Walk	Forward	0.1413	10.0799	1.6568	0.1458	0.1382	0.0968	0.0
979	Walk	Forward	-0.2131	9.7040	2.4062	0.0145	0.0429	0.0504	0.0
1028	Walk	Forward	0.0311	9.5268	1.7311	0.0921	0.0466	0.1060	0.0
1095	Walk	Forward	-0.5459	9.3329	2.1405	0.0701	0.1071	0.0937	0.0
1144	Walk	Forward	0.0431	9.3664	1.4054	0.0609	0.0930	0.0931	0.0
1212	Walk	Forward	-0.5866	9.5603	2.3272	-0.1798	0.1083	-0.0388	0.0
1277	Walk	Forward	-0.4262	9.4310	2.8444	-0.1010	0.1449	0.0449	0.0
1327	Walk	Forward	0.1053	9.5939	1.8651	-0.0069	0.1217	0.0931	0.0
1394	Walk	Forward	-0.2299	9.4095	2.3536	-0.1211	0.1272	-0.0413	0.0
1444	Walk	Forward	-0.3232	9.5340	2.1141	-0.0619	0.1272	-0.0174	0.0
1510	Walk	Forward	-0.3544	9.5723	1.9968	-0.0496	0.0832	-0.0272	0.0
1575	Walk	Forward	-0.2849	9.6489	2.2578	-0.0252	0.0814	-0.0046	0.0
1626	Walk	Forward	-0.3591	9.5819	2.0016	0.0176	0.0820	-0.0492	0.0
1691	Walk	Forward	-0.7111	9.5747	1.9801	0.1183	0.1584	0.1359	0.0
1760	Walk	Forward	-0.2682	9.9961	1.2761	0.1477	0.2317	0.1799	0.0
1807	Walk	Forward	-0.3807	9.9817	1.0224	-0.0026	0.0808	0.0333	0.0
1877	Walk	Forward	-0.7374	10.0344	1.4749	-0.0753	0.2769	0.0064	0.0
1924	Walk	Forward	-0.7279	9.7902	1.7335	0.0279	0.3264	0.1188	0.0
1990	Walk	Forward	0.6584	9.6346	1.5587	0.0756	0.3007	0.1322	0.0
2057	Walk	Forward	0.1413	9.4574	2.6050	-0.0179	0.2976	-0.0730	0.0
2108	Walk	Forward	0.1772	9.5340	2.4446	0.1238	0.1535	0.0705	0.0
2173	Walk	Forward	0.2370	9.6585	1.7694	0.0536	0.1309	0.0321	0.0
2223	Walk	Forward	-0.2155	9.4622	2.2889	-0.0942	0.1559	-0.0535	0.0
2289	Walk	Forward	-0.3424	9.3449	2.9641	-0.1254	0.2085	-0.0138	0.0
2356	Walk	Forward	0.3041	9.1054	2.0160	0.0371	0.1645	0.0699	0.0
2406	Walk	Forward	-0.1101	9.3784	1.6808	-0.0344	0.2873	0.0259	0.0
2471	Walk	Forward	-0.2825	9.7016	2.0495	-0.1688	0.2494	-0.0144	0.0
2539	Walk	Forward	-0.0192	9.7974	2.3823	-0.1156	0.1901	0.0369	0.0
2587	Walk	Forward	0.2155	9.7639	1.5299	0.0389	0.1914	0.0950	0.0
2656	Walk	Forward	0.2203	9.8213	1.9561	-0.0105	0.1235	0.0247	0.0
2705	Walk	Forward	-0.1341	9.8788	1.8005	0.0029	0.2763	0.0186	0.0
2770	Walk	Forward	-0.1891	9.6633	2.1165	0.1104	0.1895	0.0980	0.0
2838	Walk	Forward	0.0431	9.7112	2.0016	0.1733	0.2830	0.1420	0.0
2887	Walk	Forward	-0.0168	10.1924	1.5754	0.1263	0.3086	0.1341	0.0
2952	Walk	Forward	0.4094	9.6561	1.3935	0.1141	0.2213	0.0797	0.0
3022	Walk	Forward	-0.3137	9.6393	2.0423	0.0744	0.2567	0.0583	0.0
3069	Walk	Forward	0.0455	9.5364	2.0351	0.0072	0.2188	0.0760	0.0
3137	Walk	Forward	0.6441	9.4430	1.8292	0.1275	0.2097	0.0889	0.0
3186	Walk	Forward	-0.0599	9.3137	1.9968	-0.0283	0.1700	-0.1213	0.0
3254	Walk	Forward	0.0215	9.2658	2.0998	0.0084	0.1413	-0.0498	0.0
3318	Walk	Forward	-0.5794	9.7279	1.0176	-0.0203	0.2017	-0.0620	0.0
3368	Walk	Forward	-0.4070	9.7064	1.9394	-0.0900	0.1675	-0.0632	0.0
3436	Walk	Forward	-0.5004	9.5795	2.0758	-0.0478	0.1785	-0.0388	0.0
3501	Walk	Forward	0.0168	9.5148	1.6999	-0.0191	0.0148	-0.0089	0.0
3552	Walk	Forward	0.0120	9.4933	1.4294	-0.0099	-0.0206	-0.0529	0.0
3617	Walk	Forward	-0.4525	9.6058	1.7718	-0.0558	-0.1067	-0.1066	0.0
3667	Walk	Forward	-0.2059	9.8165	1.1923	0.0157	-0.0829	-0.0632	0.0
3733	Walk	Forward	-0.2945	9.7399	1.2714	0.0432	-0.1458	-0.0327	0.0
3782	Walk	Forward	-0.3591	9.9650	1.4078	0.0072	-0.1611	-0.0388	0.0
3849	Walk	Forward	-0.5411	10.0512	2.0064	0.0676	-0.1532	0.0131	0.0
3916	Walk	Forward	-0.3496	10.2283	0.3113	0.0237	-0.0756	0.0687	0.0
3966	Walk	Forward	-0.3831	9.9219	1.8891	0.0438	-0.1336	0.1585	0.0
4032	Walk	Forward	0.2083	9.7495	2.1572	0.0285	-0.1165	0.0644	0.0
4099	Walk	Forward	0.3017	9.4215	1.2187	0.2039	-0.0841	0.0956	0.0
4148	Walk	Forward	-0.4669	9.2515	1.7837	-0.1694	-0.0041	-0.2599	0.0
4215	Walk	Forward	0.2969	9.2084	0.8907	-0.0625	-0.1379	-0.1274	0.0
4282	Walk	Forward	-0.2921	9.4215	1.9920	-0.2262	-0.1611	-0.0522	0.0
4330	Walk	Forward	0.3615	9.9626	1.4437	-0.1083	-0.2851	0.0211	0.0
4397	Walk	Forward	-0.2083	9.8022	2.3775	-0.1840	-0.1672	-0.1946	0.0
4448	Walk	Forward	-0.4238	9.7447	1.7646	0.0023	-0.1306	-0.0907	0.0
4514	Walk	Forward	-0.4190	9.6561	2.0280	0.0334	-0.1122	-0.0694	0.0
4580	Walk	Forward	-0.2418	9.6968	1.7119	0.1208	-0.0365	0.0204	0.0
4631	Walk	Forward	-0.2801	9.6968	1.7766	0.1483	-0.0322	0.0430	0.0
4696	Walk	Forward	-0.3137	10.0176	1.1900	0.2069	0.0863	0.0797	0.0
4747	Walk	Forward	-0.5363	10.2283	1.3312	0.0689	0.0698	0.0351	0.0
4814	Walk	Forward	-0.5555	9.7447	2.5044	-0.1028	0.1388	0.0321	0.0
4878	Walk	Forward	-0.0790	9.4837	2.1692	0.1800	-0.0634	0.1512	0.0
4929	Walk	Forward	0.1915	9.3688	0.9098	0.2204	-0.1043	0.1102	0.0
4995	Walk	Forward	-0.5531	9.5125	1.1780	-0.0350	-0.2063	-0.0871	0.0
5045	Walk	Forward	-0.7614	9.6058	1.8388	-0.1559	-0.1141	-0.0834	0.0
5111	Walk	Forward	-0.4621	9.5125	1.5946	-0.0160	-0.1208	0.0620	0.0
5179	Walk	Forward	-0.3927	9.6322	1.4725	-0.0313	-0.0744	0.0351	0.0
5227	Walk	Forward	-0.7039	9.6633	1.3887	-0.0069	-0.0634	-0.0547	0.0
5294	Walk	Forward	-0.5914	9.6322	1.0774	0.0304	-0.0481	-0.0351	0.0
5344	Walk	Forward	-0.7446	9.7950	1.1900	0.0438	-0.1159	-0.0260	0.0
5410	Walk	Forward	-0.3184	9.8572	0.9194	0.1336	-0.2625	0.0308	0.0
5477	Walk	Forward	-0.0599	9.9291	1.4509	0.0854	-0.1880	0.0058	0.0
5526	Walk	Forward	-0.0024	10.0823	0.3783	0.0713	-0.1898	-0.0565	0.0
5592	Walk	Forward	-1.2354	10.1757	2.5068	-0.2060	-0.1275	-0.1500	0.0
5659	Walk	Forward	0.8141	9.8333	1.4414	0.0811	-0.3016	0.0522	0.0
5709	Walk	Forward	0.5339	9.5292	2.0088	0.0603	-0.2595	-0.0535	0.0
5775	Walk	Forward	0.0168	9.3520	0.9146	0.0408	-0.2057	-0.1842	0.0
5841	Walk	Forward	-0.4573	9.1222	1.6018	-0.0472	-0.1605	-0.1561	0.0
5891	Walk	Forward	-0.3041	9.3065	1.6664	-0.1211	-0.1141	-0.1567	0.0
5958	Walk	Forward	-0.1245	9.5651	1.4318	-0.0661	-0.1202	-0.0193	0.0
6008	Walk	Forward	0.0048	9.8788	1.0583	-0.0704	-0.1471	-0.0144	0.0
6075	Walk	Forward	0.0527	9.6082	1.4533	-0.1266	-0.1990	-0.0816	0.0
6141	Walk	Forward	-0.0742	9.8165	1.3360	-0.0808	-0.1953	-0.0706	0.0
