ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
34	Walk	Left	-0.9721	8.7223	4.0056	0.1092	-0.4263	-0.1324	0.0
100	Walk	Left	-1.2115	9.0599	4.0344	-0.0961	-0.5650	-0.0585	0.0
150	Walk	Left	-0.5650	9.1461	3.6010	-0.0564	-0.6634	-0.1642	0.0
217	Walk	Left	-2.0471	8.4949	5.3560	-0.6507	-0.5143	0.1523	0.0
266	Walk	Left	0.2346	8.9043	3.7710	0.1611	-0.2981	0.3325	0.0
332	Walk	Left	-1.2163	9.0408	4.7383	0.6052	-0.4294	0.2744	0.0
399	Walk	Left	-0.1868	8.7487	3.2059	0.2460	-0.0922	0.1859	0.0
448	Walk	Left	-0.2753	9.0623	3.6752	0.7341	-0.2015	0.2463	0.0
516	Walk	Left	-0.0623	9.1964	2.8899	0.3615	0.1735	0.1633	0.0
582	Walk	Left	0.0646	9.3353	2.6576	0.5099	0.0587	0.2066	0.0
631	Walk	Left	0.0886	9.3209	2.8228	0.2607	0.2371	0.1309	0.0
697	Walk	Left	-0.1915	9.6561	2.7678	0.3126	0.2041	0.0802	0.0
747	Walk	Left	-0.1437	9.6585	2.3344	0.3969	0.1247	0.0722	0.0
814	Walk	Left	-0.0263	9.8884	2.8516	0.0811	0.1766	0.0374	0.0
864	Walk	Left	0.0144	9.6705	2.1596	0.0457	0.1839	0.0405	0.0
930	Walk	Left	-0.4046	8.9259	2.8851	0.0041	0.1454	-0.1232	0.0
991	Walk	Left	-0.3927	8.9187	2.5595	-0.0014	0.1424	-0.1251	0.0
1046	Walk	Left	0.0215	9.5819	1.8627	0.2918	0.0935	0.0527	0.0
1112	Walk	Left	-0.7015	9.1174	3.3568	-0.0460	0.1772	-0.1183	0.0
1179	Walk	Left	-0.2706	9.2994	2.0423	0.1245	0.2615	-0.1183	0.0
1231	Walk	Left	-0.7183	9.4047	2.9354	-0.0716	0.2053	-0.0231	0.0
1295	Walk	Left	-0.1149	9.6920	2.6002	-0.0460	0.2218	0.1010	0.0
1362	Walk	Left	-0.2610	9.3520	2.8707	0.0744	0.1564	0.1730	0.0
1411	Walk	Left	-0.2394	9.3592	2.2650	0.0640	0.1699	0.0967	0.0
1477	Walk	Left	-0.6297	9.3472	2.5284	-0.0026	0.0868	0.0918	0.0
1532	Walk	Left	-0.1987	9.4837	2.7654	-0.0276	0.1106	0.0948	0.0
1594	Walk	Left	-0.2682	9.6226	2.2865	0.0756	0.0165	0.1327	0.0
1661	Walk	Left	-0.3256	9.4718	2.6074	0.0347	-0.0403	-0.0023	0.0
1710	Walk	Left	-0.0120	9.4885	2.2530	0.0860	-0.0873	-0.0066	0.0
1777	Walk	Left	-0.0335	9.8812	2.1189	0.0371	-0.0898	-0.1080	0.0
1827	Walk	Left	-0.3998	9.9434	2.0830	-0.0686	-0.1777	-0.1220	0.0
1893	Walk	Left	0.3017	9.5795	2.9857	-0.0698	-0.1337	-0.0933	0.0
1959	Walk	Left	-0.0455	9.4119	1.8268	-0.0484	-0.2150	-0.1116	0.0
2009	Walk	Left	-0.0215	9.5579	1.5994	0.0982	-0.1576	-0.0707	0.0
2083	Walk	Left	-0.0838	9.7136	1.7957	-0.0221	-0.1514	-0.0011	0.0
2126	Walk	Left	0.0048	9.6992	2.5475	-0.0362	-0.1032	0.0716	0.0
2191	Walk	Left	0.2035	9.5843	1.5395	0.0640	-0.0226	0.0918	0.0
2258	Walk	Left	0.1389	9.7112	1.5539	0.0951	-0.0146	0.0887	0.0
2308	Walk	Left	-0.2227	9.5029	2.0734	0.0139	0.0709	0.0484	0.0
2375	Walk	Left	0.0335	9.5412	1.8484	-0.1046	0.1112	0.0063	0.0
2424	Walk	Left	0.0742	9.5675	1.7957	0.0567	0.0312	0.0753	0.0
2490	Walk	Left	0.1700	9.8620	1.7933	0.0658	0.0391	0.0325	0.0
2556	Walk	Left	-0.0096	9.7950	1.9872	0.1538	0.0220	0.0527	0.0
2608	Walk	Left	0.3400	9.9698	1.8340	0.1355	0.1008	-0.0047	0.0
2673	Walk	Left	-0.0551	9.8261	1.8196	0.1416	0.0202	-0.0353	0.0
2739	Walk	Left	0.5698	9.9722	1.6353	0.1574	0.0190	-0.0799	0.0
2789	Walk	Left	-0.6512	9.6322	1.6329	0.1434	-0.0287	-0.0988	0.0
2857	Walk	Left	0.1772	9.7974	1.1469	0.2088	0.1137	-0.0829	0.0
2905	Walk	Left	-0.5483	9.5891	1.8843	0.1715	0.0031	-0.0450	0.0
2971	Walk	Left	-0.1149	9.5460	1.0559	0.1972	0.1265	0.0417	0.0
3038	Walk	Left	-0.0599	9.6034	1.4964	0.0964	0.1534	0.0423	0.0
3088	Walk	Left	0.0383	9.6274	1.1493	0.0249	0.1900	0.0777	0.0
3154	Walk	Left	0.0000	9.7016	1.2378	0.0512	0.1729	0.0863	0.0
3221	Walk	Left	0.0096	9.7926	1.0439	0.0176	0.1650	0.0527	0.0
3270	Walk	Left	-0.1197	9.9410	1.1828	0.0194	0.1082	0.0069	0.0
3337	Walk	Left	0.0072	9.8405	1.3552	0.0169	0.0837	0.0215	0.0
3386	Walk	Left	-0.4166	9.6298	1.1516	0.0493	-0.0244	-0.0475	0.0
3453	Walk	Left	-0.3400	9.6465	0.6417	0.1275	-0.0079	0.0002	0.0
3520	Walk	Left	-0.4717	9.5915	0.9457	0.0799	-0.1062	-0.0304	0.0
3569	Walk	Left	-0.2299	9.7782	1.1469	0.0145	-0.1105	0.0087	0.0
3635	Walk	Left	-0.3711	9.7591	1.2570	0.0060	-0.1209	0.0112	0.0
3685	Walk	Left	-0.1508	9.9722	0.9266	0.0353	-0.2376	-0.0084	0.0
3752	Walk	Left	-0.5866	9.8979	1.3360	-0.1480	-0.2015	-0.0450	0.0
3818	Walk	Left	0.2586	9.7064	1.4126	0.0090	-0.2522	-0.0249	0.0
3868	Walk	Left	0.2658	9.7232	1.4222	0.0457	-0.2467	-0.0566	0.0
3934	Walk	Left	0.0814	9.5316	1.0056	0.0634	-0.2217	-0.0939	0.0
4001	Walk	Left	-0.2322	10.0105	1.1493	0.0237	-0.1661	-0.1110	0.0
4051	Walk	Left	-0.0527	9.8022	0.7303	0.0426	-0.1350	0.0191	0.0
4117	Walk	Left	0.1461	9.4909	0.7063	0.0108	-0.1209	0.1095	0.0
4167	Walk	Left	0.1269	9.7303	0.3256	0.0628	-0.1435	0.1535	0.0
4233	Walk	Left	0.1317	9.7160	0.5507	-0.0246	-0.0965	0.0790	0.0
4299	Walk	Left	0.2418	9.6633	0.8428	-0.0527	-0.1007	0.0289	0.0
4349	Walk	Left	0.2394	9.7160	0.6441	-0.0166	-0.0678	0.0484	0.0
4416	Walk	Left	0.1245	9.7998	0.6441	0.0224	-0.0836	0.0503	0.0
4465	Walk	Left	0.2131	9.9219	0.7686	0.0286	-0.1026	0.0325	0.0
4532	Walk	Left	0.2658	9.8692	0.6225	0.0169	-0.1227	-0.0365	0.0
4598	Walk	Left	-0.0144	9.8931	1.0846	0.0493	-0.1747	-0.0420	0.0
4648	Walk	Left	-0.2203	9.9793	0.9002	-0.0026	-0.1692	-0.0701	0.0
4714	Walk	Left	-0.1389	9.9530	0.4908	0.0872	-0.1624	-0.0377	0.0
4781	Walk	Left	0.1293	9.9171	1.0702	0.1196	-0.1771	-0.0902	0.0
4830	Walk	Left	-0.2993	10.0153	0.5483	0.0786	-0.0543	-0.1422	0.0
4897	Walk	Left	0.0838	9.5723	0.7566	-0.0722	-0.1649	-0.1300	0.0
4949	Walk	Left	0.0575	9.6226	0.2610	0.1556	-0.1918	-0.0621	0.0
5013	Walk	Left	0.0479	9.5915	0.9625	-0.0502	-0.1362	-0.1110	0.0
5081	Walk	Left	0.1556	9.9267	0.6058	-0.0185	-0.2083	0.0313	0.0
5129	Walk	Left	-0.0048	9.8500	1.0008	-0.0661	-0.2205	0.0863	0.0
5196	Walk	Left	0.0527	9.7136	0.6129	0.0188	-0.2547	0.1083	0.0
5246	Walk	Left	-0.2466	9.8069	0.6105	0.0261	-0.2412	0.0765	0.0
5312	Walk	Left	-0.1556	9.8812	0.6632	-0.0026	-0.2309	0.0393	0.0
5379	Walk	Left	-0.0838	9.8860	0.4717	0.0133	-0.2529	-0.0066	0.0
5429	Walk	Left	-0.3927	9.7878	0.8069	-0.0179	-0.2437	-0.0530	0.0
5495	Walk	Left	-0.2682	9.6753	0.8260	-0.0331	-0.2553	-0.0536	0.0
5545	Walk	Left	-0.3376	9.7255	1.2738	-0.0655	-0.1979	-0.0664	0.0
5611	Walk	Left	-0.2179	9.8764	0.9481	-0.0374	-0.1844	-0.0536	0.0
5677	Walk	Left	-0.5243	9.8764	0.9912	-0.0166	-0.2058	-0.0664	0.0
5727	Walk	Left	-0.6441	10.0607	1.4797	-0.0295	-0.1643	-0.1336	0.0
5794	Walk	Left	-0.1365	9.9578	0.6967	0.0359	-0.2406	-0.0921	0.0
5860	Walk	Left	-0.0407	9.7758	0.7398	0.1208	-0.2266	-0.1025	0.0
5910	Walk	Left	-0.2370	9.6202	0.7853	0.0066	-0.1936	-0.2497	0.0
5976	Walk	Left	-0.3137	9.5412	0.5938	0.0988	-0.2547	-0.1807	0.0
6027	Walk	Left	-0.7279	9.7327	0.4094	0.0414	-0.2217	-0.1025	0.0
6093	Walk	Left	-0.8500	9.6848	0.5890	-0.0166	-0.1631	-0.0512	0.0
6159	Walk	Left	-0.5172	9.6346	0.4597	-0.1138	-0.1539	0.0961	0.0
6208	Walk	Left	0.2538	9.5556	0.4812	-0.0649	-0.1337	0.1877	0.0
6275	Walk	Left	-0.1939	9.2036	0.7925	-0.0893	-0.1252	0.1303	0.0
6326	Walk	Left	-0.0814	9.4239	1.0942	-0.1749	-0.1631	0.0307	0.0
6391	Walk	Left	-0.3974	9.7519	1.2905	-0.2433	-0.1789	0.0032	0.0
6458	Walk	Left	0.1796	10.1110	1.2618	-0.2750	-0.1087	0.0777	0.0
6508	Walk	Left	-0.0263	9.9243	1.0415	-0.2097	-0.1716	0.0594	0.0
6574	Walk	Left	-0.2322	10.1445	1.6664	-0.0716	-0.3091	-0.0127	0.0
6641	Walk	Left	-0.2011	10.2619	1.5515	-0.1480	-0.2657	-0.1104	0.0
6690	Walk	Left	-0.4669	10.0248	1.9442	-0.0832	-0.2755	-0.0982	0.0
6756	Walk	Left	-0.0263	9.7136	1.5706	-0.0710	-0.1991	-0.1281	0.0
6806	Walk	Left	-0.6608	10.0153	1.4030	0.0047	-0.1850	-0.1929	0.0
6872	Walk	Left	-0.1700	9.4167	2.2339	-0.2518	-0.1850	-0.1709	0.0
