ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
15	Walk	Right	-0.6991	9.9937	2.4015	-0.0393	0.2017	0.0711	0.0
81	Walk	Right	-1.4318	9.4981	1.4030	-0.0533	0.2091	0.0235	0.0
130	Walk	Right	-1.0726	9.0695	2.7821	-0.0362	0.1834	0.0864	0.0
196	Walk	Right	-0.0838	9.4622	0.9553	0.1348	-0.0072	0.2489	0.0
246	Walk	Right	-0.1461	9.8285	0.9817	0.1819	-0.0731	0.1762	0.0
313	Walk	Right	-0.9888	9.7591	1.9394	-0.1003	0.0564	-0.1671	0.0
379	Walk	Right	-0.6201	9.5364	1.7957	-0.1455	0.1150	-0.1818	0.0
428	Walk	Right	-0.7901	9.3137	1.3671	0.0383	-0.1336	-0.0706	0.0
495	Walk	Right	-0.9170	9.5579	1.4821	-0.0222	0.1785	0.0595	0.0
563	Walk	Right	-0.2322	9.7016	1.5275	-0.0044	0.1743	0.0889	0.0
612	Walk	Right	-0.3089	9.6920	1.8268	0.0591	-0.0786	0.0400	0.0
679	Walk	Right	-0.2921	10.0727	1.5491	0.0921	-0.0389	-0.0015	0.0
746	Walk	Right	0.0024	10.0631	1.4054	0.0866	-0.1678	0.0748	0.0
794	Walk	Right	-0.5746	9.8884	2.0471	0.1171	-0.2112	0.0461	0.0
860	Walk	Right	-0.2227	9.8812	1.6592	0.0224	-0.0341	0.0339	0.0
910	Walk	Right	0.1413	10.0679	1.2761	0.1196	0.0197	0.1377	0.0
979	Walk	Right	-1.0104	9.6393	2.0974	-0.0509	0.0069	0.0094	0.0
1029	Walk	Right	-0.1293	9.8955	2.2578	0.0402	-0.0780	0.1396	0.0
1092	Walk	Right	-0.0263	9.5388	1.4677	0.1574	-0.1941	0.1286	0.0
1158	Walk	Right	0.0742	9.3449	1.6473	0.1208	-0.1226	-0.0083	0.0
1209	Walk	Right	-0.6584	9.3329	1.8101	0.0957	-0.0866	-0.0840	0.0
1276	Walk	Right	-0.1676	9.3856	1.4916	0.0328	-0.0499	-0.1078	0.0
1344	Walk	Right	-0.1149	9.5220	0.9577	0.1110	-0.1061	-0.0852	0.0
1392	Walk	Right	-0.4142	9.6513	1.6042	0.0243	-0.0432	-0.1256	0.0
1458	Walk	Right	-0.2275	9.8237	1.8149	0.0090	-0.0530	-0.0419	0.0
1526	Walk	Right	-0.1844	9.8477	0.9817	0.0988	-0.0194	0.0223	0.0
1575	Walk	Right	-0.4836	9.6417	2.1644	0.0084	0.0276	-0.0266	0.0
1642	Walk	Right	-0.2370	9.9817	1.4557	0.0261	0.0765	0.0418	0.0
1693	Walk	Right	0.1053	10.1781	1.2498	0.0970	0.0790	0.1909	0.0
1758	Walk	Right	0.4166	10.3457	1.4007	0.0182	0.0930	0.1860	0.0
1823	Walk	Right	-0.4980	9.8955	1.0942	-0.0338	-0.0628	0.0852	0.0
