ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
41	Stop	Down	-0.7350	7.3672	-6.9793	0.0288	-0.0262	0.0024	0.0
107	Stop	Down	-0.4070	7.2954	-6.0886	0.0410	0.0605	0.0537	0.0
157	Stop	Down	-0.1269	7.4701	-6.7159	0.0923	0.0385	0.0384	0.0
223	Stop	Down	-0.1365	7.5659	-6.6752	0.0288	0.0489	0.0079	0.0
290	Stop	Down	-0.3160	7.5755	-6.5843	-0.0573	0.0550	-0.0257	0.0
340	Stop	Down	-0.2610	7.6090	-6.3353	-0.0647	0.0849	-0.0288	0.0
406	Stop	Down	-0.4310	7.4677	-6.4382	-0.0176	0.0251	-0.0312	0.0
456	Stop	Down	-0.2801	7.3361	-6.5148	-0.0341	0.0526	0.0006	0.0
523	Stop	Down	-0.2706	7.4294	-6.5675	-0.0567	0.0306	-0.0165	0.0
591	Stop	Down	-0.1461	7.3792	-6.5459	-0.1893	0.0306	-0.0147	0.0
640	Stop	Down	-0.2873	7.4869	-6.3664	-0.2180	0.0617	-0.0306	0.0
706	Stop	Down	-0.2921	7.6665	-6.2084	-0.2956	0.0287	-0.0245	0.0
756	Stop	Down	-0.2610	7.8748	-6.0671	-0.2882	0.0446	-0.0379	0.0
822	Stop	Down	-0.3567	7.9490	-5.6050	-0.3237	0.0074	-0.0324	0.0
888	Stop	Down	-0.3472	8.0017	-5.6553	-0.3359	0.0220	-0.0123	0.0
938	Stop	Down	-0.2610	8.1310	-5.3249	-0.3695	0.0031	-0.0196	0.0
1004	Stop	Down	-0.2370	8.2866	-5.1405	-0.3597	0.0153	-0.0068	0.0
1070	Stop	Down	-0.2562	8.4135	-5.0304	-0.3652	0.0068	-0.0037	0.0
1121	Stop	Down	-0.2514	8.5188	-4.8891	-0.3811	0.0013	-0.0172	0.0
1187	Stop	Down	-0.3328	8.6649	-4.4605	-0.4086	0.0043	-0.0214	0.0
1238	Stop	Down	-0.2825	8.6745	-4.4917	-0.3933	0.0208	-0.0172	0.0
1304	Stop	Down	-0.2562	8.8875	-4.1445	-0.4232	-0.0085	-0.0312	0.0
1369	Stop	Down	-0.4334	8.9594	-3.7638	-0.4220	-0.0501	-0.0098	0.0
1419	Stop	Down	-0.3017	9.1078	-3.6752	-0.3854	-0.0317	0.0568	0.0
1485	Stop	Down	-0.2753	9.2491	-3.4669	-0.4220	-0.0079	0.0586	0.0
1553	Stop	Down	-0.2035	9.4454	-3.2442	-0.3860	-0.0568	0.0171	0.0
1602	Stop	Down	-0.0311	9.2060	-3.1221	-0.4129	-0.0397	-0.0019	0.0
1669	Stop	Down	-0.4166	9.0599	-2.6098	-0.5314	0.0361	-0.0581	0.0
1717	Stop	Down	-0.2251	9.3161	-2.2961	-0.5405	0.0000	-0.0355	0.0
1784	Stop	Down	-0.4765	9.7064	-2.0782	-0.5265	-0.0372	-0.0489	0.0
1851	Stop	Down	-0.4765	9.9147	-1.6018	-0.4697	-0.0305	-0.0153	0.0
1900	Stop	Down	-0.4645	9.9434	-1.3671	-0.4605	-0.0299	0.0128	0.0
1956	Stop	Down	-0.3998	9.7064	-0.9577	-0.5008	0.1161	0.0897	0.0
2019	Stop	Down	-0.3065	9.9386	-0.6465	-0.4293	0.1613	0.0910	0.0
2082	Stop	Down	-0.2275	9.9410	-0.4717	-0.3414	-0.0384	-0.0098	0.0
2150	Stop	Down	-0.2873	9.9267	-0.8428	-0.3035	-0.0018	-0.0257	0.0
2199	Stop	Down	-0.4166	9.7662	-0.1341	-0.3829	-0.0006	-0.0306	0.0
2266	Stop	Down	-0.2155	9.8093	-0.0934	-0.3664	-0.0110	-0.0001	0.0
2335	Stop	Down	-0.2801	9.6633	0.2825	-0.3780	0.0239	0.0085	0.0
2382	Stop	Down	-0.1915	9.7543	0.0383	-0.4238	0.0391	-0.0037	0.0
2447	Stop	Down	-0.2538	9.7351	1.0319	-0.5338	0.0898	0.0018	0.0
2498	Stop	Down	-0.2801	9.8381	1.1445	-0.4342	0.0104	0.0018	0.0
