ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
42	Stop	Left	-0.7135	9.8117	0.3927	0.0245	0.3415	-0.0532	0.0
91	Stop	Left	-0.7374	9.7662	0.8428	-0.0500	0.3415	-0.0220	0.0
158	Stop	Left	-0.4956	9.8453	0.3855	-0.0091	0.4429	0.0171	0.0
210	Stop	Left	-0.5579	9.7974	0.6465	-0.0329	0.4680	0.0134	0.0
274	Stop	Left	-0.5100	9.7208	0.3663	0.0019	0.4111	0.0177	0.0
340	Stop	Left	-0.4789	9.7327	0.6177	-0.0714	0.4680	0.0225	0.0
390	Stop	Left	-0.4549	9.8261	0.5339	-0.0433	0.4026	0.0183	0.0
456	Stop	Left	-0.3855	9.8357	0.3855	-0.0689	0.4344	0.0006	0.0
525	Stop	Left	-0.5842	9.8596	0.9936	-0.1166	0.4258	0.0036	0.0
575	Stop	Left	-0.3208	9.7255	0.7781	0.0673	0.3262	-0.0025	0.0
640	Stop	Left	-0.5028	9.8165	0.2370	-0.0091	0.5022	0.0012	0.0
689	Stop	Left	-0.2993	9.7447	0.8643	-0.0292	0.4936	-0.0068	0.0
757	Stop	Left	-0.5650	9.9219	0.6560	-0.0066	0.4893	-0.0049	0.0
824	Stop	Left	-0.5004	10.0176	0.6129	0.0264	0.2841	-0.0001	0.0
872	Stop	Left	-0.7135	9.8740	0.1149	0.0502	0.2896	-0.0019	0.0
939	Stop	Left	-0.4812	9.7830	0.9194	-0.0885	0.2755	0.0659	0.0
989	Stop	Left	-0.7207	9.7902	0.2993	0.0074	0.3305	0.0452	0.0
1055	Stop	Left	-0.3974	9.7112	1.0224	-0.0860	0.3201	0.0629	0.0
1121	Stop	Left	-0.6105	9.8740	0.4382	-0.0634	0.3543	0.0482	0.0
1172	Stop	Left	-0.5028	9.8836	0.8691	-0.0543	0.3617	0.0409	0.0
1238	Stop	Left	-0.5603	9.8955	0.5986	-0.0213	0.3812	0.0409	0.0
1288	Stop	Left	-0.5148	9.8907	0.6177	0.0007	0.3519	0.0335	0.0
1355	Stop	Left	-0.4669	9.7998	0.4765	0.0117	0.3776	0.0464	0.0
1420	Stop	Left	-0.3855	9.7830	0.6465	0.0410	0.3482	0.0256	0.0
1470	Stop	Left	-0.3974	9.6465	0.4621	-0.0231	0.3452	0.0195	0.0
1536	Stop	Left	-0.5243	9.7950	0.6848	-0.0347	0.3696	0.0030	0.0
1586	Stop	Left	-0.4932	9.8644	0.5866	-0.0298	0.3470	0.0012	0.0
1655	Stop	Left	-0.5243	9.8453	0.7015	-0.0219	0.3666	0.0073	0.0
1718	Stop	Left	-0.4693	9.9051	0.6656	-0.0140	0.3586	0.0134	0.0
1768	Stop	Left	-0.5100	9.8955	0.5124	0.0038	0.3348	0.0219	0.0
