ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
21	Stop	Right	-0.0838	9.7279	1.1636	-0.0586	-0.2773	0.0048	0.0
86	Stop	Right	-0.1868	9.7782	1.2283	-0.0488	-0.2608	-0.0349	0.0
153	Stop	Right	-0.2322	9.6944	1.3264	-0.0433	-0.3152	-0.0471	0.0
203	Stop	Right	-0.3328	9.7255	1.0319	-0.0433	-0.3787	-0.0526	0.0
269	Stop	Right	-0.1604	9.9123	1.6760	-0.0671	-0.3482	-0.0165	0.0
319	Stop	Right	-0.3735	9.8405	1.4725	-0.0060	-0.3262	0.0067	0.0
385	Stop	Right	-0.4166	9.8141	1.4222	-0.0017	-0.3329	-0.0214	0.0
452	Stop	Right	-0.3807	9.7495	1.1923	0.0447	-0.3109	-0.0178	0.0
504	Stop	Right	-0.2586	9.6944	1.3025	0.0404	-0.3103	-0.0575	0.0
568	Stop	Right	-0.2011	9.7950	1.0559	0.0545	-0.2468	-0.0672	0.0
636	Stop	Right	-0.3520	9.7327	1.3360	0.0141	-0.2266	-0.0721	0.0
685	Stop	Right	-0.4980	9.7878	1.0798	0.0209	-0.1979	-0.0587	0.0
752	Stop	Right	-0.3184	9.7950	1.2857	-0.0109	-0.2119	-0.0501	0.0
801	Stop	Right	-0.2394	9.7447	1.3743	0.0044	-0.1997	-0.0184	0.0
868	Stop	Right	-0.2849	9.7112	1.3384	0.0178	-0.1838	-0.0306	0.0
937	Stop	Right	-0.2011	9.7471	1.1636	0.0184	-0.1997	-0.0477	0.0
985	Stop	Right	-0.2945	9.7734	1.2881	0.0117	-0.1961	-0.0544	0.0
1050	Stop	Right	-0.3304	9.7782	1.2857	0.0135	-0.1924	-0.0337	0.0
1100	Stop	Right	-0.2825	9.8285	1.2666	-0.0060	-0.2144	-0.0416	0.0
1168	Stop	Right	-0.1532	9.7686	1.2067	0.0190	-0.2150	-0.0434	0.0
1234	Stop	Right	-0.2466	9.6872	1.3073	0.0080	-0.2376	-0.0489	0.0
1284	Stop	Right	-0.3424	9.6968	1.2139	0.0282	-0.2180	-0.0489	0.0
1350	Stop	Right	-0.2418	9.7016	1.2163	-0.0017	-0.3036	-0.0294	0.0
1418	Stop	Right	-0.2993	9.7232	1.1421	0.0019	-0.2645	-0.0269	0.0
1466	Stop	Right	-0.3352	9.7567	1.3169	-0.0237	-0.2461	-0.0361	0.0
1532	Stop	Right	-0.3855	9.8165	1.2115	0.0013	-0.2266	-0.0434	0.0
1581	Stop	Right	-0.4286	9.7878	1.2690	-0.0121	-0.2309	-0.0459	0.0
1649	Stop	Right	-0.4214	9.7591	1.2833	0.0025	-0.2083	-0.0385	0.0
1717	Stop	Right	-0.3687	9.7806	1.2642	0.0050	-0.2229	-0.0477	0.0
1766	Stop	Right	-0.3017	9.8141	1.2163	0.0111	-0.2523	-0.0459	0.0
1830	Stop	Right	-0.3879	9.7232	1.2570	0.0178	-0.2419	-0.0385	0.0
1881	Stop	Right	-0.4238	9.7232	1.1612	0.0196	-0.2535	-0.0306	0.0
1947	Stop	Right	-0.3639	9.7088	1.1923	0.0099	-0.2816	-0.0294	0.0
2013	Stop	Right	-0.3735	9.7399	1.1684	0.0074	-0.2755	-0.0178	0.0
2062	Stop	Right	-0.4118	9.7902	1.2331	-0.0121	-0.2724	-0.0263	0.0
2129	Stop	Right	-0.3927	9.8022	1.2019	0.0178	-0.2645	-0.0404	0.0
2196	Stop	Right	-0.4932	9.7758	1.2570	0.0025	-0.2333	-0.0190	0.0
2247	Stop	Right	-0.3807	9.7782	1.3121	-0.0078	-0.2370	-0.0141	0.0
2318	Stop	Right	-0.3376	9.7279	1.2283	0.0209	-0.2327	-0.0208	0.0
2378	Stop	Right	-0.2897	9.7423	1.1133	0.0300	-0.1924	-0.0129	0.0
2429	Stop	Right	-0.1700	9.6968	1.2019	-0.0036	-0.2651	-0.0190	0.0
2494	Stop	Right	-0.4286	9.7375	1.2666	0.0044	-0.2223	-0.0196	0.0
2546	Stop	Right	-0.1891	9.7327	1.1516	0.0031	-0.3036	-0.0043	0.0
2609	Stop	Right	-0.2993	9.8022	1.3264	-0.0103	-0.2333	-0.0110	0.0
2676	Stop	Right	-0.2275	9.7830	1.1660	-0.0078	-0.2663	-0.0147	0.0
2726	Stop	Right	-0.2131	9.7279	1.1564	0.0044	-0.2217	-0.0135	0.0
2793	Stop	Right	-0.2275	9.7447	1.1780	0.0080	-0.2461	-0.0263	0.0
2844	Stop	Right	-0.2729	9.7662	1.2522	-0.0005	-0.1961	-0.0367	0.0
2910	Stop	Right	-0.3256	9.7255	1.2833	0.0001	-0.2364	-0.0398	0.0
2976	Stop	Right	-0.2299	9.7950	1.2115	0.0025	-0.1948	-0.0251	0.0
3026	Stop	Right	-0.2993	9.6848	1.2953	0.0044	-0.1808	-0.0312	0.0
3093	Stop	Right	-0.4094	9.7136	1.1852	-0.0042	-0.1728	-0.0275	0.0
3159	Stop	Right	-0.2586	9.7854	1.3384	-0.0268	-0.1716	-0.0062	0.0
3208	Stop	Right	-0.2155	9.7471	1.3216	-0.0048	-0.1160	-0.0019	0.0
3276	Stop	Right	-0.1724	9.7998	1.2714	0.0086	-0.1484	-0.0178	0.0
3326	Stop	Right	-0.1939	9.7686	1.3121	0.0276	-0.1289	-0.0416	0.0
3393	Stop	Right	-0.2083	9.7040	1.1516	0.0270	-0.1392	-0.0337	0.0
3457	Stop	Right	-0.2658	9.7423	1.3839	0.0038	-0.1307	-0.0361	0.0
3507	Stop	Right	-0.1508	9.7662	1.1708	0.0154	-0.1612	-0.0379	0.0
3574	Stop	Right	-0.1173	9.7710	1.2450	0.0135	-0.1527	-0.0391	0.0
3623	Stop	Right	-0.2035	9.7543	1.2019	0.0129	-0.1447	-0.0453	0.0
3690	Stop	Right	-0.3304	9.7303	1.3145	0.0001	-0.1643	-0.0465	0.0
3740	Stop	Right	-0.2299	9.8141	1.2666	0.0086	-0.1496	-0.0391	0.0
3806	Stop	Right	-0.2945	9.7232	1.1900	0.0172	-0.1570	-0.0361	0.0
3872	Stop	Right	-0.2682	9.6872	1.1493	0.0154	-0.1576	-0.0318	0.0
3940	Stop	Right	-0.2251	9.7160	1.1828	-0.0030	-0.1502	-0.0691	0.0
3991	Stop	Right	-0.3065	9.8357	1.1971	0.0019	-0.1802	-0.0691	0.0
4055	Stop	Right	-0.3783	9.8165	1.2857	-0.0158	-0.2040	-0.0526	0.0
4107	Stop	Right	-0.3280	9.7662	1.2498	0.0013	-0.2223	-0.0196	0.0
4171	Stop	Right	-0.3807	9.7519	1.2498	0.0160	-0.2278	-0.0135	0.0
4237	Stop	Right	-0.2634	9.7208	1.2187	0.0062	-0.2938	-0.0141	0.0
4287	Stop	Right	-0.4142	9.7327	1.1349	0.0306	-0.2290	-0.0214	0.0
4354	Stop	Right	-0.3567	9.8046	1.2331	0.0148	-0.2400	-0.0190	0.0
4404	Stop	Right	-0.3400	9.7016	1.2402	0.0557	-0.2113	0.0171	0.0
4469	Stop	Right	-0.2179	9.7615	1.1516	0.0331	-0.2480	0.0299	0.0
4536	Stop	Right	-0.1437	9.8046	1.1540	0.0257	-0.2370	0.0097	0.0
4589	Stop	Right	-0.1197	9.8477	1.2091	0.0367	-0.2266	-0.0031	0.0
4655	Stop	Right	-0.2825	9.8046	1.1852	-0.0103	-0.2089	-0.0184	0.0
4702	Stop	Right	-0.1724	9.7160	1.1229	0.0141	-0.2333	0.0061	0.0
4768	Stop	Right	-0.1700	9.7375	1.2139	0.0001	-0.2345	-0.0135	0.0
4837	Stop	Right	-0.1604	9.7662	1.1157	0.0123	-0.2205	-0.0013	0.0
4886	Stop	Right	-0.1293	9.7208	1.1109	0.0099	-0.2138	-0.0001	0.0
4954	Stop	Right	-0.2155	9.7878	1.0990	0.0068	-0.1887	-0.0013	0.0
