ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
9	Stop	Stop	0.0479	9.4981	2.7223	0.0156	-0.0232	0.0002	0.0
54	Stop	Stop	-0.2227	9.3999	2.6936	-0.0272	-0.0446	-0.0261	0.0
121	Stop	Stop	-0.0575	9.4143	2.8396	0.0205	-0.0208	0.0069	0.0
170	Stop	Stop	-0.1628	9.4813	2.7750	0.0150	0.0079	-0.0163	0.0
236	Stop	Stop	0.0383	9.4550	2.6145	0.0339	0.0281	-0.0010	0.0
303	Stop	Stop	-0.2107	9.3329	2.6217	0.0015	0.0128	-0.0383	0.0
352	Stop	Stop	-0.0096	9.3975	2.8013	0.0070	-0.0067	-0.0041	0.0
419	Stop	Stop	-0.0407	9.4813	2.7007	-0.0143	0.0037	-0.0163	0.0
485	Stop	Stop	-0.1317	9.4454	2.6768	0.0107	-0.0049	-0.0145	0.0
537	Stop	Stop	-0.1987	9.4287	2.6864	-0.0107	0.0092	-0.0206	0.0
602	Stop	Stop	-0.0551	9.3832	2.6792	-0.0253	0.0085	-0.0285	0.0
651	Stop	Stop	-0.2729	9.4694	2.6816	-0.0229	0.0305	-0.0535	0.0
718	Stop	Stop	0.0215	9.4813	2.9833	-0.0205	0.0421	0.0259	0.0
784	Stop	Stop	-0.2610	9.4023	2.7031	0.0046	0.0385	-0.0377	0.0
834	Stop	Stop	-0.0958	9.4646	2.6672	0.0388	0.0220	0.0008	0.0
900	Stop	Stop	-0.2658	9.5268	2.4110	0.0345	-0.0562	-0.0389	0.0
967	Stop	Stop	-0.0886	9.3664	2.8659	-0.0296	-0.0171	-0.0334	0.0
1016	Stop	Stop	-0.2873	9.4239	2.7391	0.0138	-0.0391	-0.0187	0.0
1083	Stop	Stop	-0.3280	9.4694	2.7486	0.0144	0.0165	-0.0187	0.0
1149	Stop	Stop	-0.2466	9.4741	2.7295	0.0034	-0.0177	0.0008	0.0
1199	Stop	Stop	-0.3639	9.4143	2.6026	0.0107	0.0244	0.0075	0.0
1265	Stop	Stop	-0.1700	9.4406	2.7079	0.0199	-0.0171	0.0246	0.0
1332	Stop	Stop	-0.2322	9.5436	2.7295	0.0211	-0.0061	0.0314	0.0
1381	Stop	Stop	-0.2394	9.4310	2.6864	0.0089	-0.0092	-0.0028	0.0
1448	Stop	Stop	-0.1269	9.4526	2.5236	0.0131	-0.0196	0.0033	0.0
1514	Stop	Stop	-0.3280	9.3975	2.6983	-0.0253	0.0024	0.0130	0.0
1564	Stop	Stop	-0.1149	9.4813	2.7055	-0.0107	-0.0189	0.0149	0.0
1630	Stop	Stop	-0.2897	9.3927	2.6816	0.0070	-0.0092	0.0155	0.0
1680	Stop	Stop	-0.0527	9.5484	2.6433	-0.0058	0.0220	0.0094	0.0
1748	Stop	Stop	-0.4214	9.4310	2.9066	-0.0443	-0.0202	-0.0035	0.0
1814	Stop	Stop	-0.2083	9.4191	2.6768	0.0186	-0.0324	0.0039	0.0
1864	Stop	Stop	-0.2610	9.4574	2.7175	0.0095	-0.0037	0.0362	0.0
1931	Stop	Stop	-0.1317	9.4741	2.5738	0.0125	-0.0147	0.0173	0.0
1997	Stop	Stop	-0.1628	9.4502	2.7726	-0.0034	-0.0189	0.0106	0.0
2046	Stop	Stop	-0.2586	9.4550	2.7726	-0.0064	0.0293	-0.0267	0.0
2113	Stop	Stop	-0.2179	9.3688	2.6576	0.0089	-0.0086	-0.0071	0.0
2163	Stop	Stop	-0.3352	9.4167	2.6648	-0.0107	-0.0055	-0.0047	0.0
2229	Stop	Stop	-0.2610	9.4167	2.7462	-0.0168	-0.0043	0.0008	0.0
2296	Stop	Stop	-0.3951	9.3903	2.5834	0.0083	-0.0000	0.0234	0.0
2345	Stop	Stop	-0.0575	9.5364	2.8588	-0.0131	-0.0281	0.0338	0.0
2413	Stop	Stop	-0.2394	9.4502	2.8492	-0.0125	0.0232	-0.0157	0.0
2478	Stop	Stop	-0.2729	9.4215	2.7295	0.0113	0.0079	0.0094	0.0
2528	Stop	Stop	-0.2562	9.4143	2.6481	0.0174	0.0140	-0.0028	0.0
2596	Stop	Stop	-0.2777	9.3856	2.7367	0.0040	0.0030	0.0198	0.0
2645	Stop	Stop	-0.1796	9.4310	2.6983	0.0168	-0.0141	-0.0035	0.0
2710	Stop	Stop	-0.3160	9.4598	2.8181	0.0101	-0.0073	0.0075	0.0
2778	Stop	Stop	-0.1868	9.4885	2.7319	0.0205	0.0012	0.0081	0.0
2828	Stop	Stop	-0.2825	9.3520	2.7821	0.0150	0.0110	0.0094	0.0
2895	Stop	Stop	-0.2993	9.4119	2.4015	-0.0107	0.0220	-0.0083	0.0
2944	Stop	Stop	-0.0215	9.4909	2.7750	-0.0034	-0.0428	0.0240	0.0
3009	Stop	Stop	-0.3400	9.3951	2.9521	-0.0308	0.0281	-0.0346	0.0
3076	Stop	Stop	-0.1149	9.5292	2.6026	0.0364	-0.0305	0.0118	0.0
3126	Stop	Stop	-0.3496	9.3425	2.7271	-0.0058	0.0269	-0.0224	0.0
3192	Stop	Stop	-0.1389	9.4598	2.6217	0.0180	-0.0159	0.0069	0.0
