ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
0	Stop	Typing	0.0503	9.5053	1.8292	0.1244	-0.0163	0.2523	0.0
0	Stop	Typing	0.2107	8.6242	3.0862	-0.0087	0.2482	0.2133	0.0
0	Stop	Typing	-0.9314	9.5508	1.6664	0.1324	0.2232	0.0434	0.0
0	Stop	Typing	-0.4549	9.4071	2.4924	-0.0466	0.2030	0.0178	0.0
0	Stop	Typing	-0.4980	9.4215	2.5738	-0.0521	0.2592	0.2273	0.0
0	Stop	Typing	-0.5172	9.4095	2.9354	-0.1388	0.2965	0.0514	0.0
0	Stop	Typing	-0.6704	9.6848	2.7319	-0.0099	0.1914	0.0502	0.0
0	Stop	Typing	0.3184	9.0839	3.0623	-0.0613	0.0570	0.1528	0.0
262	Stop	Typing	-0.8021	10.0631	2.2099	0.0737	0.0112	-0.1056	0.0
262	Stop	Typing	-0.4956	9.3903	3.0934	0.0505	0.1609	-0.1136	0.0
262	Stop	Typing	-0.8069	9.5867	2.6313	0.0817	-0.0994	-0.1099	0.0
262	Stop	Typing	-0.7207	9.2658	2.7558	0.0175	-0.0236	-0.0427	0.0
490	Stop	Typing	-0.9314	9.8261	2.1908	0.0896	-0.0700	-0.1013	0.0
578	Stop	Typing	-0.2586	9.5579	2.4398	0.0078	-0.0621	-0.0366	0.0
629	Stop	Typing	-0.6896	9.7064	2.1141	0.0175	-0.0285	-0.0164	0.0
698	Stop	Typing	-0.0048	9.2539	2.8420	0.0157	-0.0236	0.0349	0.0
751	Stop	Typing	-0.9840	9.8453	2.3775	0.0194	0.0827	0.0153	0.0
815	Stop	Typing	-0.2466	9.5364	2.3009	-0.0613	-0.0285	0.0459	0.0
878	Stop	Typing	-0.0263	9.3544	2.3536	-0.1407	-0.0102	0.0355	0.0
928	Stop	Typing	-0.8595	9.8069	2.7702	-0.0503	0.2281	-0.0299	0.0
993	Stop	Typing	0.0455	9.1773	2.5858	-0.0668	0.0197	0.0031	0.0
1048	Stop	Typing	-0.5746	9.5699	3.1820	-0.0277	0.0173	-0.0073	0.0
1116	Stop	Typing	-0.1796	9.4813	1.9992	0.0579	0.1676	-0.0170	0.0
1176	Stop	Typing	-0.6129	9.6872	2.3177	-0.0832	-0.0884	-0.0433	0.0
1236	Stop	Typing	-0.4190	9.6034	2.1692	-0.0466	0.0338	0.0324	0.0
1289	Stop	Typing	-0.3903	9.5077	2.9138	-0.1303	-0.0181	0.0550	0.0
1326	Stop	Typing	-0.3256	9.6465	2.1237	-0.0619	-0.0823	0.0660	0.0
1411	Stop	Typing	0.0024	9.2323	2.5188	-0.1486	-0.1916	0.0721	0.0
1441	Stop	Typing	-0.1556	9.2347	3.0024	-0.0930	-0.0652	0.0752	0.0
1524	Stop	Typing	-0.1173	9.5867	2.8803	-0.0997	-0.2228	0.0092	0.0
1591	Stop	Typing	-0.0838	9.4430	2.5619	-0.0215	-0.1055	-0.0262	0.0
1648	Stop	Typing	-0.4166	9.5915	3.3089	0.1257	0.1682	-0.0537	0.0
1710	Stop	Typing	-0.3567	9.5172	1.9298	0.1226	-0.0688	-0.0732	0.0
1774	Stop	Typing	-0.7662	9.5556	2.8995	0.0744	-0.0493	-0.0470	0.0
1825	Stop	Typing	1.0559	9.7495	1.4030	0.0182	-0.1886	-0.0616	0.0
1895	Stop	Typing	-0.7470	9.9099	3.8979	0.0737	0.1767	-0.1020	0.0
1955	Stop	Typing	0.0766	9.5436	1.5682	-0.0148	0.0503	-0.0451	0.0
2021	Stop	Typing	-0.3352	9.3760	1.4940	0.2540	0.6080	0.1509	0.0
2071	Stop	Typing	-0.5100	9.7686	3.9960	-0.1126	-0.0749	-0.0439	0.0
2138	Stop	Typing	-0.6680	9.4382	2.6864	-0.0087	-0.1745	-0.0329	0.0
2188	Stop	Typing	-0.1868	9.5340	1.1109	-0.1248	-0.1128	0.0092	0.0
2254	Stop	Typing	-0.5746	9.8333	4.3001	-0.0423	-0.0884	0.0135	0.0
2304	Stop	Typing	-0.0646	9.5819	2.5307	-0.0148	-0.5758	0.0520	0.0
2374	Stop	Typing	0.3113	9.7495	1.4868	-0.1107	-0.3480	0.0208	0.0
2437	Stop	Typing	-0.4070	9.6896	3.3304	0.0053	-0.2576	0.0275	0.0
2486	Stop	Typing	0.0455	9.2108	2.6313	-0.0759	0.0491	0.0257	0.0
2552	Stop	Typing	0.5722	9.4981	1.8819	-0.0423	0.2720	0.0795	0.0
2621	Stop	Typing	-0.1437	9.5148	3.2849	-0.0839	0.1224	-0.0433	0.0
2669	Stop	Typing	0.0239	9.6872	2.4924	0.0224	0.0326	-0.0018	0.0
2737	Stop	Typing	-0.1891	9.5891	2.2626	0.0261	0.0118	-0.0097	0.0
2772	Stop	Typing	0.1437	9.7830	2.4230	0.0799	0.2751	-0.0451	0.0
2852	Stop	Typing	0.0120	9.4406	2.6433	0.3120	0.1450	0.0282	0.0
2922	Stop	Typing	-0.0790	9.4789	2.4230	0.1165	-0.0059	-0.0042	0.0
2968	Stop	Typing	-0.4429	9.5460	2.3201	0.1098	0.0576	-0.0476	0.0
3034	Stop	Typing	0.7734	9.8596	0.9457	-0.0173	-0.1733	0.0037	0.0
3083	Stop	Typing	0.0335	9.7806	2.5691	0.0200	0.2568	-0.0421	0.0
3150	Stop	Typing	-0.5555	9.7016	1.9250	0.0328	0.4303	0.0990	0.0
3216	Stop	Typing	-0.0024	9.5675	1.7646	0.0450	0.6538	0.0972	0.0
3285	Stop	Typing	-0.9409	9.3784	0.6800	-0.0851	0.3716	0.0104	0.0
3334	Stop	Typing	-0.3208	9.5747	2.7127	0.1086	0.1486	0.0550	0.0
3401	Stop	Typing	-0.3424	9.6178	2.8683	-0.0099	0.1059	-0.0812	0.0
3450	Stop	Typing	-0.1101	9.8069	1.8460	0.1373	-0.1299	0.0282	0.0
3516	Stop	Typing	0.8907	9.4430	1.0295	0.0542	0.0943	0.1167	0.0
3582	Stop	Typing	0.1820	9.2563	1.8532	0.0334	0.5567	-0.0372	0.0
3632	Stop	Typing	-0.4382	9.5101	2.2123	0.1391	0.0680	0.0001	0.0
3682	Stop	Typing	-0.2035	9.4837	3.0383	-0.1016	0.0326	-0.0439	0.0
3748	Stop	Typing	-0.5650	9.8572	1.1876	-0.0118	0.0136	-0.1826	0.0
3815	Stop	Typing	-0.3472	9.6561	1.8340	0.0102	-0.0945	-0.0965	0.0
3880	Stop	Typing	0.0838	9.3305	2.5906	-0.1352	-0.2887	-0.0354	0.0
3930	Stop	Typing	0.0910	9.1533	2.0495	-0.2537	-0.7848	-0.0091	0.0
3997	Stop	Typing	0.6010	9.5316	1.6113	0.1080	0.0631	0.0990	0.0
4063	Stop	Typing	-0.4046	9.5196	2.4302	-0.0093	0.0979	0.0605	0.0
4113	Stop	Typing	0.5411	9.5867	1.8627	0.1635	0.1474	0.0495	0.0
4180	Stop	Typing	-0.5842	9.5484	2.3655	0.0725	0.1468	0.0227	0.0
4230	Stop	Typing	0.2011	9.6178	1.7742	0.0389	0.7406	-0.0085	0.0
4296	Stop	Typing	-0.2251	9.1940	3.2011	0.0151	-0.3688	0.0563	0.0
4362	Stop	Typing	-0.2107	9.5340	2.7295	0.1147	0.0625	-0.0268	0.0
4417	Stop	Typing	-0.7566	9.4239	0.7374	0.1593	0.0295	-0.0299	0.0
4478	Stop	Typing	-0.2011	9.4263	1.7071	0.0200	0.0778	0.0465	0.0
4549	Stop	Typing	-0.1939	9.5651	1.7933	-0.0417	-0.1476	-0.1013	0.0
4594	Stop	Typing	-0.8619	9.8860	1.9825	0.0756	-0.1904	-0.0543	0.0
4644	Stop	Typing	-0.4358	9.6322	2.0375	-0.0417	-0.0645	0.0013	0.0
4711	Stop	Typing	-0.6560	9.6896	1.5898	-0.0002	-0.0200	0.0172	0.0
4777	Stop	Typing	0.0048	9.5843	0.9050	-0.0478	-0.0908	0.0245	0.0
4828	Stop	Typing	-1.1085	9.8117	2.3105	-0.0338	0.2476	-0.0702	0.0
4894	Stop	Typing	-0.2849	9.7447	1.7215	-0.0558	-0.2887	0.0159	0.0
4961	Stop	Typing	0.2634	9.2491	2.2865	-0.0857	-0.2368	0.0508	0.0
5014	Stop	Typing	-0.5507	9.6489	2.7606	-0.0038	-0.0499	0.1033	0.0
5078	Stop	Typing	-0.2131	9.4670	1.6784	-0.0277	-0.0957	0.0502	0.0
5142	Stop	Typing	0.3208	9.5316	1.2067	-0.0038	0.0356	0.0001	0.0
5192	Stop	Typing	-0.2322	9.6681	1.7981	0.0175	0.0863	0.0037	0.0
5258	Stop	Typing	-0.5315	9.6896	2.5092	-0.0417	-0.0584	0.0031	0.0
5308	Stop	Typing	-0.3639	9.6944	2.1118	0.0084	-0.0059	0.0111	0.0
5374	Stop	Typing	-0.0072	9.5532	1.5371	-0.0185	-0.0988	0.0159	0.0
5442	Stop	Typing	-0.2729	9.5819	1.8412	0.0475	0.0564	0.0086	0.0
