ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
36	Stop	Up	-0.4382	9.1485	3.9051	0.2218	0.0459	0.0952	0.0
85	Stop	Up	-0.5866	9.1749	4.4677	0.1272	0.0648	0.0372	0.0
152	Stop	Up	-0.6824	9.1844	3.5124	0.1913	0.0281	0.0561	0.0
219	Stop	Up	-0.6345	9.0192	3.9577	0.1968	0.0440	0.0274	0.0
268	Stop	Up	-0.5076	9.0528	2.9426	0.2029	0.0483	0.0262	0.0
334	Stop	Up	-0.5698	8.9115	3.7518	0.1607	0.0214	-0.0147	0.0
384	Stop	Up	-0.4118	9.1389	3.1820	0.0801	0.0526	0.0207	0.0
451	Stop	Up	-0.5028	9.1653	3.8548	0.1217	0.0416	0.0073	0.0
519	Stop	Up	-0.4405	9.3425	3.0024	0.2127	0.0098	0.0616	0.0
568	Stop	Up	-0.3041	9.3951	3.2514	0.1876	0.0068	0.0586	0.0
634	Stop	Up	-0.4836	9.4095	3.0383	0.2084	-0.0085	0.0409	0.0
685	Stop	Up	-0.3352	9.2563	2.9904	0.1565	0.0342	-0.0165	0.0
750	Stop	Up	-0.7422	9.3089	2.7414	0.1907	0.0178	0.0458	0.0
817	Stop	Up	-0.1700	9.4239	2.7678	0.1675	0.0208	0.0018	0.0
867	Stop	Up	-0.4645	9.3568	2.5762	0.2060	-0.0470	0.0085	0.0
933	Stop	Up	-0.4358	9.4382	2.4398	0.1479	-0.0012	0.0067	0.0
983	Stop	Up	-0.2825	9.4837	2.7462	0.0978	0.0019	-0.0074	0.0
1049	Stop	Up	-0.2586	9.5196	2.3775	0.1449	-0.0733	0.0262	0.0
1116	Stop	Up	-0.4046	9.5915	2.5260	0.0954	-0.0250	0.0225	0.0
1166	Stop	Up	-0.3639	9.6034	2.1453	0.1357	-0.0287	-0.0086	0.0
1232	Stop	Up	-0.5770	9.5460	2.1285	0.1039	0.0000	-0.0239	0.0
1300	Stop	Up	-0.2442	9.5867	2.2674	0.1088	-0.0238	0.0097	0.0
1348	Stop	Up	-0.1437	9.6106	2.1261	0.1369	-0.0195	0.0274	0.0
1416	Stop	Up	-0.4358	9.5316	1.9034	0.1559	-0.0372	-0.0098	0.0
1482	Stop	Up	-0.5387	9.5556	1.8484	0.1082	0.0043	-0.0233	0.0
1532	Stop	Up	-0.5267	9.5651	2.2578	0.0942	-0.0134	-0.0031	0.0
1597	Stop	Up	-0.2658	9.6513	1.6329	0.1693	-0.0403	0.0629	0.0
1646	Stop	Up	-0.3304	9.6705	1.5395	0.0960	0.0055	0.0494	0.0
1715	Stop	Up	-0.3017	9.7327	1.6544	0.0887	-0.0165	0.0225	0.0
1763	Stop	Up	-0.3376	9.6968	1.7598	0.0612	0.0031	-0.0208	0.0
1829	Stop	Up	-0.3113	9.7447	1.5874	0.1394	-0.0036	0.0140	0.0
1897	Stop	Up	-0.3831	9.7112	1.5204	0.0960	0.0459	-0.0196	0.0
1947	Stop	Up	-0.4046	9.6513	1.4557	0.0850	0.0281	-0.0086	0.0
2014	Stop	Up	-0.2155	9.6489	1.1421	0.0954	0.0171	0.0048	0.0
2062	Stop	Up	-0.4908	9.6920	1.4701	0.0783	0.0104	0.0067	0.0
2129	Stop	Up	-0.3448	9.6537	1.2474	0.0771	-0.0256	0.0384	0.0
2196	Stop	Up	-0.2179	9.7016	1.3599	0.0538	0.0080	0.0042	0.0
2244	Stop	Up	-0.4453	9.8117	1.2426	0.0868	0.0092	0.0238	0.0
2311	Stop	Up	-0.2370	9.8692	1.3815	0.0923	0.0110	0.0067	0.0
2369	Stop	Up	-0.3448	9.8644	1.0678	0.0978	0.0055	0.0012	0.0
2426	Stop	Up	-0.2706	9.8357	1.0918	0.0795	-0.0006	-0.0294	0.0
2494	Stop	Up	-0.4214	9.7519	1.0559	0.0874	0.0196	-0.0306	0.0
2562	Stop	Up	-0.1915	9.7854	1.0271	0.1003	0.0049	-0.0092	0.0
2610	Stop	Up	-0.4908	9.7639	0.7255	0.1186	-0.0103	0.0006	0.0
2677	Stop	Up	-0.3951	9.7327	0.8835	0.0813	0.0159	-0.0074	0.0
2729	Stop	Up	-0.4980	9.7184	0.7997	0.1058	-0.0213	-0.0110	0.0
2792	Stop	Up	-0.3352	9.7375	0.7757	0.0862	-0.0079	-0.0110	0.0
2843	Stop	Up	-0.4046	9.6417	0.5842	0.1272	0.0025	0.0158	0.0
2909	Stop	Up	-0.2466	9.8548	0.5267	0.0557	-0.0030	0.0213	0.0
2976	Stop	Up	-0.2322	9.8907	0.7662	0.0954	-0.0085	0.0232	0.0
3025	Stop	Up	-0.3232	9.8309	0.7063	0.0422	0.0043	0.0439	0.0
3091	Stop	Up	-0.2993	9.8644	0.6201	0.0740	0.0080	0.0140	0.0
3158	Stop	Up	-0.3424	9.8812	0.2251	0.1003	0.0110	-0.0355	0.0
3207	Stop	Up	-0.4238	9.7255	0.2155	0.1333	0.0202	-0.0257	0.0
3275	Stop	Up	-0.3496	9.7136	0.4549	0.0148	0.0226	0.0030	0.0
3324	Stop	Up	-0.4310	9.9267	0.2969	0.0691	0.0233	-0.0062	0.0
3390	Stop	Up	-0.3615	10.0296	0.1293	0.0679	0.0214	0.0171	0.0
3459	Stop	Up	-0.2299	10.0416	0.1676	0.0752	-0.0061	-0.0049	0.0
3507	Stop	Up	-0.3567	9.9362	0.3376	0.1217	0.0190	-0.0343	0.0
3573	Stop	Up	-0.2658	9.9123	-0.0072	0.1168	-0.0183	-0.0092	0.0
3640	Stop	Up	-0.5411	9.8189	0.0790	0.1021	-0.0036	-0.0440	0.0
3689	Stop	Up	-0.3711	9.6513	-0.1245	0.1669	-0.0262	-0.0080	0.0
3755	Stop	Up	-0.4693	9.7423	-0.6201	0.1284	-0.0061	-0.0049	0.0
3805	Stop	Up	-0.3879	9.8165	-0.4693	0.1137	-0.0574	0.0219	0.0
3873	Stop	Up	-0.5483	9.8093	-0.3280	0.0844	-0.0195	0.0207	0.0
3939	Stop	Up	-0.3160	9.9051	-0.4022	0.0954	-0.0085	0.0012	0.0
3987	Stop	Up	-0.3520	9.8860	-0.3041	0.1094	0.0202	-0.0239	0.0
4054	Stop	Up	-0.3113	9.9362	-0.7422	0.1656	-0.0403	0.0287	0.0
4104	Stop	Up	-0.5914	9.7950	-0.7925	0.1797	-0.0275	-0.0019	0.0
4170	Stop	Up	-0.2299	9.7447	-0.6608	0.1455	0.0691	0.0097	0.0
4238	Stop	Up	-0.3974	9.8046	-0.9888	0.1638	0.0623	-0.0269	0.0
4288	Stop	Up	-0.2921	9.7758	-0.7470	0.1308	0.0098	-0.0178	0.0
4355	Stop	Up	-0.4118	9.7471	-1.0439	0.1467	-0.0366	0.0134	0.0
4422	Stop	Up	-0.1868	9.8548	-0.9912	0.1009	-0.0006	0.0201	0.0
4470	Stop	Up	-0.4214	9.7974	-1.0583	0.1137	-0.0317	-0.0049	0.0
4536	Stop	Up	-0.4046	9.7902	-1.4054	0.1406	0.0049	0.0036	0.0
4586	Stop	Up	-0.5076	9.7232	-1.4102	0.1149	0.0013	-0.0068	0.0
4651	Stop	Up	-0.4262	9.7950	-1.7335	0.1699	-0.0366	0.0201	0.0
4701	Stop	Up	-0.4621	9.7112	-1.0990	0.1210	0.0037	0.0067	0.0
4766	Stop	Up	-0.3448	9.6777	-1.5275	0.1351	-0.0256	0.0531	0.0
4835	Stop	Up	-0.1125	9.7447	-1.6568	0.1424	0.0556	0.0671	0.0
4885	Stop	Up	-0.2227	9.6705	-1.7526	0.1064	0.0275	-0.0031	0.0
4950	Stop	Up	-0.3735	9.6346	-1.6425	0.1155	0.0428	-0.0184	0.0
