ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
60	Walk	Forward	-0.4717	8.6840	1.1277	0.0451	0.0618	0.0620	0.0
108	Walk	Forward	0.1365	9.2251	1.9226	-0.0807	0.0148	0.0614	0.0
175	Walk	Forward	0.2658	9.5939	0.7566	0.0769	0.1858	0.1317	0.0
225	Walk	Forward	-0.1556	10.0416	1.3839	0.0378	0.0410	0.0431	1.0
291	Walk	Forward	-0.1437	10.8748	3.0599	0.1087	0.2408	0.0021	0.0
357	Walk	Forward	-1.2378	10.6042	1.8220	0.1808	0.2225	-0.0186	0.0
407	Walk	Forward	-1.0990	10.3983	0.8188	0.1765	-0.0408	0.0254	0.0
473	Walk	Forward	-1.2690	9.4909	2.8252	-0.2670	-0.3071	0.1903	0.0
543	Walk	Forward	-0.1748	9.3401	1.6209	-0.1265	0.1223	0.1036	0.0
592	Walk	Forward	-0.5315	8.7343	2.3224	0.0500	-0.0359	0.0046	0.0
658	Walk	Forward	-0.1389	8.5787	1.6856	0.0775	0.0172	-0.0015	0.0
706	Walk	Forward	-0.5962	9.2946	0.7398	0.1123	0.0972	-0.0559	0.0
772	Walk	Forward	-0.6129	9.8213	1.6137	0.0934	0.1266	-0.0528	0.0
839	Walk	Forward	-0.9409	10.2595	1.4054	0.1392	-0.0316	-0.0528	1.0
890	Walk	Forward	0.0646	11.2555	-0.0886	0.2156	0.0661	-0.1109	0.0
957	Walk	Forward	0.4956	10.2140	4.4462	0.1795	-0.3902	-0.1237	0.0
1021	Walk	Forward	-0.5698	9.8477	0.2849	-0.2322	-0.0286	-0.0547	0.0
1074	Walk	Forward	-0.7710	9.5316	-0.1173	-0.2188	0.0581	-0.0009	0.0
1137	Walk	Forward	-0.8141	9.1868	1.9346	-0.3092	-0.1770	0.0565	0.0
1189	Walk	Forward	-0.2418	8.6338	1.8867	-0.2145	-0.0567	0.0718	0.0
1255	Walk	Forward	-0.2849	8.9187	1.1900	-0.1045	-0.0933	-0.0003	0.0
1323	Walk	Forward	-0.1891	9.4215	1.0247	0.1716	-0.1276	0.0449	0.0
1369	Walk	Forward	-0.5243	9.7830	0.0982	0.0042	0.2493	0.0858	0.0
1436	Walk	Forward	0.0048	10.4510	2.0950	0.0757	-0.3010	0.0254	0.0
1486	Walk	Forward	-0.5291	11.4973	0.4453	0.2260	-0.0371	0.0101	1.0
1554	Walk	Forward	-0.3352	10.0416	4.0846	0.1520	-0.3951	0.0614	0.0
1621	Walk	Forward	-0.9840	10.5300	-1.1085	0.3384	0.1070	0.0645	0.0
1669	Walk	Forward	0.2299	9.6753	2.0327	-0.2004	0.0789	0.1494	0.0
1738	Walk	Forward	0.4358	8.6912	0.8404	-0.1002	0.3324	0.1127	0.0
1802	Walk	Forward	-0.0479	7.9729	1.6377	-0.1357	0.0337	-0.0400	0.0
1852	Walk	Forward	-0.2203	8.9474	1.1684	0.1013	-0.2913	-0.0773	0.0
1920	Walk	Forward	-0.8212	9.4598	-0.0527	0.1111	-0.0054	-0.0101	0.0
1967	Walk	Forward	-0.2370	10.1230	0.6584	0.0048	-0.2387	-0.0675	1.0
2034	Walk	Forward	-0.3448	10.5324	2.7031	0.0781	-0.0982	-0.0424	0.0
2101	Walk	Forward	-0.4334	11.6936	0.6465	0.1465	-0.1752	-0.1054	0.0
2151	Walk	Forward	0.1915	10.9897	-1.0176	0.1545	-0.2051	-0.0657	0.0
2219	Walk	Forward	-0.2538	9.6801	2.6265	-0.3464	-0.3200	-0.0198	0.0
2267	Walk	Forward	-0.3041	9.0647	1.3456	-0.2737	-0.0597	0.0779	0.0
2335	Walk	Forward	-0.3113	8.3632	2.3177	-0.1296	0.1205	0.0522	0.0
2399	Walk	Forward	-0.0215	8.5260	1.0607	-0.0593	-0.0769	0.0070	0.0
2448	Walk	Forward	0.2466	8.9546	1.3001	-0.0868	-0.1062	-0.0113	0.0
2514	Walk	Forward	0.0359	9.5915	1.0391	0.0341	-0.0500	0.0400	0.0
2581	Walk	Forward	0.1077	10.1014	1.4533	0.0891	0.0911	0.0290	1.0
2631	Walk	Forward	-0.1245	11.7726	0.3113	0.2376	0.1198	-0.0760	0.0
2704	Walk	Forward	-0.3831	10.9035	1.7837	-0.0178	-0.0035	0.0229	0.0
2748	Walk	Forward	-1.3959	10.6473	-0.1341	0.2040	0.2011	0.0504	0.0
2814	Walk	Forward	-0.0503	10.0607	1.2115	-0.0789	0.0026	0.1335	0.0
2880	Walk	Forward	-0.2466	9.1485	1.8915	-0.1913	0.2255	0.0773	0.0
2931	Walk	Forward	-0.1484	8.4159	1.7837	-0.0911	-0.0408	-0.0730	0.0
2979	Walk	Forward	-0.0862	8.2914	0.9194	0.0042	-0.0677	-0.0400	0.0
3046	Walk	Forward	-0.4956	8.8756	1.0343	-0.0221	-0.0316	-0.0748	0.0
3112	Walk	Forward	-0.4860	10.0272	1.9609	-0.0166	-0.1734	-0.0424	0.0
3179	Walk	Forward	-0.3400	10.3097	2.3224	0.2565	-0.1373	0.0046	1.0
3230	Walk	Forward	-0.8931	12.0911	-0.1293	-0.1345	-0.4501	0.0162	0.0
3295	Walk	Forward	0.0814	11.0520	-1.6281	0.4837	-0.1001	-0.1335	0.0
3363	Walk	Forward	-0.0239	9.4310	2.1285	-0.2041	-0.1923	-0.0461	0.0
3411	Walk	Forward	0.1628	9.4023	1.0080	-0.2462	0.0472	-0.0675	0.0
3481	Walk	Forward	-0.7901	8.5835	1.0990	-0.0563	0.0966	-0.0327	0.0
3529	Walk	Forward	-0.4094	8.3345	1.3599	-0.0709	0.1877	0.0461	0.0
3595	Walk	Forward	-0.3855	9.1629	1.7718	0.0122	0.1101	0.0370	0.0
3661	Walk	Forward	0.3017	9.8429	0.7949	0.2052	-0.0445	0.0565	0.0
3710	Walk	Forward	-0.0910	10.1182	1.9537	0.0696	0.1644	0.0406	1.0
3777	Walk	Forward	-0.5076	11.6386	-0.5746	0.2944	0.0380	0.0254	0.0
3826	Walk	Forward	-0.6321	10.2355	4.2379	-0.0453	-0.1599	0.1127	0.0
3892	Walk	Forward	-0.7039	10.1829	-0.0096	-0.0294	0.0038	0.1842	0.0
3959	Walk	Forward	0.0311	9.7399	0.9912	-0.2756	-0.0268	0.1072	0.0
4009	Walk	Forward	-0.4693	9.0695	1.4533	-0.2200	0.0808	0.0119	0.0
4075	Walk	Forward	0.4142	8.3584	2.1477	0.0732	-0.2638	-0.0076	0.0
4141	Walk	Forward	-0.0551	8.5500	-0.0144	0.1722	0.0068	-0.0021	0.0
4192	Walk	Forward	-0.2993	9.2706	0.4358	-0.0233	0.0606	-0.0418	0.0
4261	Walk	Forward	-0.2275	10.0512	2.0280	-0.0312	0.0472	-0.0577	0.0
4308	Walk	Forward	0.3017	11.1358	1.0535	0.4673	-0.1996	-0.0620	1.0
4374	Walk	Forward	0.1915	11.3417	2.6864	0.0580	-0.0824	-0.0803	0.0
4442	Walk	Forward	-0.0479	11.2291	-0.3352	0.1178	0.1589	-0.0736	0.0
4490	Walk	Forward	-0.5555	10.0488	2.7582	-0.2572	-0.0836	-0.0443	0.0
4559	Walk	Forward	-0.2801	8.7463	1.7718	-0.1980	-0.1477	-0.0351	0.0
4608	Walk	Forward	-0.1365	8.2914	1.1109	0.0494	-0.0555	0.0724	0.0
4675	Walk	Forward	-0.2921	8.5571	1.1253	0.0030	0.0264	0.0583	0.0
4741	Walk	Forward	0.3974	9.2227	0.9553	0.1105	0.0948	0.0406	0.0
4790	Walk	Forward	-0.2873	9.6202	0.6273	0.0745	0.1797	-0.0180	0.0
4858	Walk	Forward	0.2849	9.8836	1.4749	0.0170	0.1290	0.0193	1.0
4905	Walk	Forward	-0.9362	11.5883	-0.0551	0.1539	0.2829	0.0186	0.0
4972	Walk	Forward	0.5220	9.9674	5.5020	-0.0770	-0.1074	0.1121	0.0
5039	Walk	Forward	-0.6465	10.8006	-0.7446	-0.1216	-0.1538	0.0809	0.0
5088	Walk	Forward	0.1341	10.2355	1.3504	-0.1790	-0.0500	0.0748	0.0
5154	Walk	Forward	-0.0599	9.5532	1.9705	-0.0984	0.0588	-0.1139	0.0
5204	Walk	Forward	-0.2035	8.7415	0.9242	-0.0049	-0.0152	-0.0510	0.0
5270	Walk	Forward	-0.2993	8.4662	0.7614	-0.0361	0.0465	-0.0437	0.0
5337	Walk	Forward	-0.2610	9.1461	1.0391	-0.0410	0.0258	-0.0840	0.0
