ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
48	Walk	Left	0.1365	8.9737	1.3384	0.1698	-0.4238	0.0107	0.0
114	Walk	Left	0.3711	8.1717	0.0886	0.1527	-0.1129	-0.0033	0.0
180	Walk	Left	-0.8141	8.2435	0.2658	0.1392	-0.1648	-0.0082	0.0
230	Walk	Left	0.5962	9.3401	1.4102	0.0635	-0.0280	-0.0388	0.0
296	Walk	Left	-0.4262	9.9913	-0.5172	0.2718	-0.1947	-0.1420	1.0
363	Walk	Left	-0.7877	10.5995	1.5228	-0.0416	-0.0384	-0.1005	0.0
412	Walk	Left	1.6520	11.1669	0.8691	0.0299	0.0270	-0.0266	0.0
479	Walk	Left	0.2203	11.1142	0.0694	0.2076	-0.1935	-0.1445	0.0
547	Walk	Left	-2.9210	9.8884	1.2450	-0.0544	-0.2247	-0.3503	0.0
596	Walk	Left	1.2666	9.8117	1.3959	-0.2029	-0.0207	0.2899	0.0
662	Walk	Left	-0.2035	9.4095	1.6257	0.1795	0.0007	0.2966	0.0
712	Walk	Left	0.5818	8.5859	0.7398	0.0427	0.1363	0.2868	0.0
778	Walk	Left	0.5339	8.4662	0.1125	0.2834	-0.1227	0.0669	0.0
845	Walk	Left	-0.3448	8.4326	0.8763	0.0482	-0.0402	-0.0767	0.0
895	Walk	Left	-0.2586	9.4526	0.7279	-0.0721	-0.1630	-0.0760	0.0
961	Walk	Left	0.9864	10.7886	2.3895	-0.3122	0.0618	-0.0534	1.0
1010	Walk	Left	-2.1932	12.3185	0.7255	0.2101	-0.3835	-0.2654	0.0
1077	Walk	Left	-1.1085	11.0903	2.3608	0.1826	-0.0799	-0.2740	0.0
1143	Walk	Left	-0.1963	10.4103	-0.3520	0.1221	-0.1728	0.0620	0.0
1193	Walk	Left	0.4597	9.0121	3.0000	-0.0263	0.0875	0.1359	0.0
1259	Walk	Left	-0.2562	8.4542	-0.2969	0.2999	-0.0359	0.1384	0.0
1327	Walk	Left	-0.4932	8.1094	0.7877	0.0458	0.0233	0.0376	0.0
1376	Walk	Left	0.1556	8.3393	0.8572	0.0115	0.1223	0.1084	0.0
1442	Walk	Left	-0.1820	9.2754	0.7997	0.2516	0.0246	-0.0143	0.0
1492	Walk	Left	-0.5603	10.0009	0.6393	0.2046	0.1241	-0.1219	1.0
1558	Walk	Left	0.9769	10.4055	0.6704	0.3396	-0.0231	-0.1451	0.0
1626	Walk	Left	-4.4438	11.5739	2.5547	0.5363	-0.1770	-0.3888	0.0
1675	Walk	Left	0.9601	10.7910	-1.8651	0.6212	-0.3731	-0.1298	0.0
1741	Walk	Left	0.7183	10.1661	1.2426	-0.3312	0.1712	0.2783	0.0
1790	Walk	Left	-1.0200	9.3544	0.1700	0.0170	0.1565	0.1879	0.0
1856	Walk	Left	1.1900	8.7223	-0.0503	-0.2261	0.1412	0.2746	0.0
1925	Walk	Left	-1.0846	8.4925	0.8595	0.1520	-0.1385	0.0101	0.0
1973	Walk	Left	0.0814	8.5619	0.5387	-0.0159	0.1089	0.0962	0.0
2041	Walk	Left	-0.9936	9.2515	-0.0958	0.0629	0.0325	-0.0443	0.0
2090	Walk	Left	0.5148	9.5699	0.7590	-0.0166	0.0740	-0.0437	0.0
2157	Walk	Left	-2.1620	10.8485	0.3520	0.1007	-0.0543	-0.3955	1.0
2224	Walk	Left	0.2418	11.2004	-0.9529	-0.0300	-0.1104	-0.1475	0.0
2274	Walk	Left	0.6345	11.5907	0.3735	-0.1845	0.0123	0.3167	0.0
2340	Walk	Left	-0.1149	10.3648	-0.0599	-0.1002	0.3049	0.3809	0.0
2405	Walk	Left	0.9793	9.6585	-0.9673	-0.0868	-0.0640	0.3540	0.0
2457	Walk	Left	-0.1053	8.8061	1.3647	0.0403	-0.0897	-0.0162	0.0
2521	Walk	Left	-0.3783	8.6098	-0.0359	-0.0007	0.0698	-0.0473	0.0
2573	Walk	Left	-0.2322	9.0887	0.8164	0.3194	-0.0958	-0.1548	0.0
2638	Walk	Left	-0.2059	9.7974	1.4629	0.0885	0.2420	-0.1182	0.0
2704	Walk	Left	-0.4525	10.3696	-0.9146	0.1905	0.0502	-0.4896	1.0
2754	Walk	Left	1.0535	10.9418	1.3743	0.0384	0.1370	-0.3271	0.0
2820	Walk	Left	-2.1094	10.6354	-0.5459	0.2431	-0.1911	-0.2575	0.0
2870	Walk	Left	-0.0575	10.2690	1.0008	-0.1467	0.1528	0.4530	0.0
2938	Walk	Left	0.0215	9.9698	1.1085	-0.0538	0.1626	0.3705	0.0
3004	Walk	Left	-0.1317	9.3042	-0.5196	-0.0208	0.0068	0.2715	0.0
3052	Walk	Left	0.0718	8.8923	0.6728	-0.0984	-0.0335	0.1072	0.0
3120	Walk	Left	-0.0479	8.9713	0.3951	0.0274	-0.0793	-0.0314	0.0
3169	Walk	Left	-0.7422	10.1924	0.1868	0.0580	-0.0573	-0.1677	0.0
3236	Walk	Left	-2.4062	11.3225	0.0144	0.0464	-0.1709	-0.2990	1.0
3301	Walk	Left	2.9402	11.4758	0.8643	-0.3855	0.4112	0.2019	0.0
3351	Walk	Left	-1.3169	11.1980	-0.8380	0.2907	-0.4812	-0.2245	0.0
3418	Walk	Left	0.8284	9.6346	2.0088	-0.1766	0.1229	0.1952	0.0
3485	Walk	Left	-0.2945	9.1533	-0.2442	0.2137	-0.1050	0.0864	0.0
3534	Walk	Left	-0.5483	8.2411	0.7590	-0.0037	0.1052	-0.0333	0.0
3600	Walk	Left	-0.8739	8.7894	-0.0958	0.1423	-0.0115	-0.0143	0.0
3668	Walk	Left	-0.3137	9.2251	1.4342	0.1502	0.0191	-0.0486	0.0
3717	Walk	Left	-0.7853	9.4071	-0.6105	0.3420	0.0527	0.0186	0.0
3783	Walk	Left	0.0886	10.2188	0.1030	0.0146	0.0930	-0.0333	1.0
3832	Walk	Left	-0.0431	11.0592	0.9122	-0.0434	0.2078	-0.3149	0.0
3899	Walk	Left	2.1764	11.0879	-2.2841	0.2571	-0.1831	-0.1023	0.0
3965	Walk	Left	-2.7007	10.3481	1.9585	-0.2426	-0.0689	-0.2446	0.0
4016	Walk	Left	0.5818	9.4382	0.2131	-0.1161	0.1956	0.3510	0.0
4082	Walk	Left	-0.3735	8.7990	0.6872	0.0745	-0.0323	0.1976	0.0
4148	Walk	Left	0.8404	8.7080	-0.0838	0.1001	0.0349	0.2575	0.0
4200	Walk	Left	-0.8955	8.8421	0.8524	0.0378	0.0282	-0.0431	0.0
4264	Walk	Left	-0.6249	9.2227	0.0287	-0.0312	0.0099	-0.1689	0.0
4315	Walk	Left	-0.2370	9.8692	0.6632	-0.0001	0.1467	-0.1475	0.0
4380	Walk	Left	-0.6034	10.6833	0.1125	-0.0929	0.0997	-0.4145	1.0
4448	Walk	Left	3.0120	11.5883	-0.8667	-0.1558	-0.0463	-0.0449	0.0
4497	Walk	Left	-3.9218	11.3082	0.0144	0.0073	-0.2473	-0.3833	0.0
4563	Walk	Left	2.2626	10.3026	0.3113	-0.2059	0.0557	0.3736	0.0
4630	Walk	Left	0.0575	9.3449	-0.6919	0.1557	-0.1447	0.1677	0.0
4681	Walk	Left	-0.3232	8.2459	0.4717	-0.0477	-0.1984	-0.0162	0.0
4746	Walk	Left	-0.7638	8.1094	0.6488	-0.1601	-0.0109	0.0052	0.0
4796	Walk	Left	-0.3065	9.0264	-0.0575	0.1685	0.0655	0.0449	0.0
4863	Walk	Left	-0.2993	9.6130	0.5291	-0.0049	0.2341	0.0425	0.0
4914	Walk	Left	-0.5507	10.6042	-0.5507	-0.0532	0.1675	-0.1567	1.0
4978	Walk	Left	-2.6576	11.7679	0.3639	-0.0947	0.2170	-0.3027	0.0
5045	Walk	Left	5.1405	10.6114	-0.7638	-0.0587	0.3141	0.0510	0.0
5095	Walk	Left	-3.2442	10.6018	0.8021	-0.0899	0.0551	-0.5501	0.0
5160	Walk	Left	1.4102	10.0943	1.2354	-0.1027	0.1730	0.4108	0.0
5227	Walk	Left	-0.1868	9.2251	-0.2035	0.0677	-0.1098	0.1866	0.0
5276	Walk	Left	0.0239	8.3225	0.0383	0.0293	-0.1776	0.0437	0.0
5345	Walk	Left	-0.9721	8.1693	0.3160	0.1276	-0.2668	-0.0027	0.0
5411	Walk	Left	-0.8428	9.3472	0.6776	0.0745	-0.2845	-0.0602	0.0
5460	Walk	Left	-0.6010	10.1924	0.3711	0.2150	-0.1685	-0.0424	1.0
5527	Walk	Left	-1.2738	11.3800	-0.5339	0.1924	-0.0567	-0.0394	0.0
5575	Walk	Left	3.6177	11.7439	-1.4605	-0.0471	0.0325	0.4145	0.0
5642	Walk	Left	-2.6936	10.5204	-0.3113	0.0311	-0.3420	0.0046	0.0
5708	Walk	Left	0.9601	9.6848	0.5411	-0.3067	0.1363	0.2434	0.0
5758	Walk	Left	1.1014	9.1892	-0.6345	-0.0111	0.0465	0.2495	0.0
5824	Walk	Left	-0.1700	8.5404	-0.0168	-0.1155	0.1785	0.0565	0.0
5874	Walk	Left	-0.6608	8.8014	-0.1173	-0.0740	0.0557	0.0461	0.0
5941	Walk	Left	-0.2227	9.6298	0.5674	-0.0972	0.0753	0.0021	0.0
6007	Walk	Left	-0.3496	9.9698	-0.3448	0.0958	0.0050	-0.0626	0.0
6057	Walk	Left	0.5722	10.7503	0.4812	0.0775	0.0917	-0.1500	1.0
6122	Walk	Left	-2.3272	11.4949	-0.3663	0.0855	0.2127	-0.3949	0.0
6189	Walk	Left	3.0910	10.6330	-0.1149	-0.0514	0.2164	-0.0834	0.0
6239	Walk	Left	-2.5260	10.6306	1.9082	-0.2059	-0.0158	-0.3241	0.0
6305	Walk	Left	1.2738	9.5292	0.9912	-0.0251	0.2078	0.3302	0.0
6355	Walk	Left	-0.7303	8.5356	-0.6824	0.1062	-0.0506	0.1054	0.0
6421	Walk	Left	-0.2203	7.7934	0.9529	-0.0514	0.0362	0.1390	0.0
6489	Walk	Left	-0.9122	8.1597	-0.4645	0.1740	-0.0011	0.1909	0.0
6539	Walk	Left	-0.5866	9.3975	0.9577	-0.0251	-0.0017	0.0510	0.0
6606	Walk	Left	-0.2849	10.6928	0.1149	0.0348	-0.0982	-0.0993	1.0
6655	Walk	Left	-0.5818	11.8493	0.3472	-0.0355	-0.1385	-0.3253	0.0
6721	Walk	Left	2.8947	11.4255	0.6776	-0.0807	0.0765	0.1359	0.0
6789	Walk	Left	-3.4071	10.8485	0.7159	-0.0318	-0.1245	-0.4743	0.0
6836	Walk	Left	2.0710	9.6130	0.5507	-0.1742	0.0514	0.4084	0.0
6905	Walk	Left	-0.3184	8.8301	-0.2179	-0.0697	-0.1123	0.1738	0.0
6970	Walk	Left	0.5315	8.2722	-0.2969	0.0152	-0.0103	0.2043	0.0
7019	Walk	Left	-0.7039	8.1717	0.5507	0.0085	-0.0262	-0.0082	0.0
7071	Walk	Left	-0.9242	9.0049	-0.0024	0.1710	-0.0518	0.0138	0.0
7136	Walk	Left	0.5339	10.3864	-0.7662	-0.0031	0.0893	0.0840	1.0
7202	Walk	Left	0.4214	11.0376	0.4669	-0.1198	0.1180	-0.1066	0.0
7269	Walk	Left	-2.0351	12.2826	0.3304	-0.2322	0.0472	-0.1872	0.0
7319	Walk	Left	1.5180	10.2499	1.6233	-0.1858	0.1003	0.0431	0.0
7384	Walk	Left	-0.4046	10.0296	0.2466	0.0421	-0.0787	0.1286	0.0
7450	Walk	Left	0.7374	9.6058	0.5938	0.1203	-0.0952	0.2153	0.0
7501	Walk	Left	0.3951	8.8780	0.2346	-0.0721	0.1064	0.2031	0.0
7569	Walk	Left	0.2466	8.2148	1.1397	0.0366	0.2487	-0.2837	0.0
7618	Walk	Left	-1.3360	8.4662	0.0144	-0.0984	0.0252	-0.2440	0.0
7683	Walk	Left	-0.3974	9.4287	1.4222	0.0702	-0.0475	0.0034	0.0
7751	Walk	Left	0.4238	10.8221	0.4094	0.1349	-0.0781	-0.0150	1.0
7800	Walk	Left	-3.0623	12.0025	-0.6201	0.0513	-0.2913	-0.1762	0.0
7865	Walk	Left	2.7965	10.4295	1.1852	-0.5443	0.3550	-0.1072	0.0
7915	Walk	Left	-1.2163	10.3935	-0.6488	0.2657	-0.8099	-0.1322	0.0
7981	Walk	Left	0.1532	9.8931	2.6983	-0.5138	0.1675	0.2660	0.0
8048	Walk	Left	1.1804	9.1222	0.2490	0.1356	-0.0530	0.3039	0.0
8097	Walk	Left	-0.4908	8.3081	0.0000	0.0757	-0.1917	-0.0669	0.0
8163	Walk	Left	-0.2969	8.7008	0.2107	0.1001	-0.2002	0.0180	0.0
8215	Walk	Left	-0.2299	9.6872	1.2594	0.0812	-0.1630	-0.1365	0.0
8281	Walk	Left	0.2418	10.0919	-0.8069	0.2803	-0.2216	-0.1652	1.0
8349	Walk	Left	-0.7087	10.9442	0.3951	0.1972	-0.1752	-0.0602	0.0
8396	Walk	Left	-1.9705	12.0456	1.3983	-0.2499	-0.1276	0.0944	0.0
8462	Walk	Left	1.7813	10.4773	0.8021	0.0177	-0.0591	0.1396	0.0
8513	Walk	Left	-0.6848	9.9506	0.6896	0.0299	-0.0274	0.1879	0.0
8579	Walk	Left	0.9481	9.3161	0.7207	0.0250	-0.0439	0.2092	0.0
8646	Walk	Left	-0.1891	8.1405	0.6752	0.1838	-0.0414	0.1451	0.0
8697	Walk	Left	-0.5555	8.3848	0.1796	0.1423	-0.0927	-0.0260	0.0
8762	Walk	Left	0.3328	8.9378	0.3544	0.0739	-0.1563	-0.0406	0.0
8829	Walk	Left	-1.2642	9.5699	0.2466	0.1404	-0.2516	-0.2245	0.0
8879	Walk	Left	-0.0862	10.4486	0.1820	0.0500	-0.2216	-0.2025	1.0
8946	Walk	Left	-2.3224	11.7511	0.4549	0.0445	-0.3249	-0.2587	0.0
8996	Walk	Left	3.4789	10.7862	0.7877	-0.2261	-0.1947	0.1371	0.0
9060	Walk	Left	-2.1285	10.9586	-1.2929	0.2736	-0.4800	-0.0156	0.0
9111	Walk	Left	0.7398	10.0967	1.5515	-0.2750	0.2029	0.3381	0.0
9178	Walk	Left	0.1868	8.7822	-0.2610	0.1050	-0.0213	0.1689	0.0
9243	Walk	Left	-0.5315	7.6138	-0.0431	0.1258	-0.0268	0.0803	0.0
9293	Walk	Left	-0.8212	8.1046	0.1317	-0.0196	0.0465	0.0388	0.0
9360	Walk	Left	-0.4022	9.8357	-0.1532	-0.0679	0.0368	0.0565	0.0
9426	Walk	Left	-0.2921	10.9442	0.9266	-0.1412	0.1669	0.0015	1.0
9475	Walk	Left	0.6608	11.2794	0.4358	-0.1149	0.2286	-0.2459	0.0
9541	Walk	Left	-2.3248	11.2842	-0.3903	0.1710	0.2738	-0.4450	0.0
9610	Walk	Left	1.6042	9.9554	0.6393	0.0757	0.1541	-0.2275	0.0
9658	Walk	Left	-1.5467	9.8237	0.5818	0.0757	-0.0023	-0.3424	0.0
9724	Walk	Left	0.9577	9.6801	0.8763	0.0293	0.0789	0.2331	0.0
9792	Walk	Left	-1.4318	8.5524	-0.0814	-0.0294	0.0618	0.1310	0.0
9840	Walk	Left	0.2634	8.6721	-0.1389	0.0824	0.0178	0.2337	0.0
9891	Walk	Left	-0.8332	8.8468	0.6488	0.0513	-0.0512	0.1042	0.0
9958	Walk	Left	-0.6728	9.2515	0.2107	0.0739	-0.0952	0.1585	0.0
10023	Walk	Left	0.8979	10.7982	0.6393	0.0635	0.0123	0.0290	1.0
10090	Walk	Left	-3.6249	12.2587	-0.6129	0.0824	-0.0775	-0.1805	0.0
10139	Walk	Left	-0.6081	11.1262	2.0830	-0.3140	0.2274	-0.0437	0.0
10205	Walk	Left	1.3432	10.4462	-0.5674	-0.1974	0.0533	0.2025	0.0
10256	Walk	Left	0.1245	9.4574	1.1828	-0.0935	-0.0469	0.2037	0.0
10323	Walk	Left	0.8260	8.8588	-0.1173	-0.0049	0.0355	0.1799	0.0
10390	Walk	Left	-0.2418	8.3871	-0.0503	0.0238	-0.0921	0.0229	0.0
10439	Walk	Left	0.0096	8.8133	0.3974	0.0751	-0.0402	-0.0333	0.0
