ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
0	Walk	Right	0.0527	9.2347	2.8851	-0.0068	-0.1250	-0.0137	0.0
40	Walk	Right	-0.2251	9.5101	2.7175	0.0182	-0.0969	-0.0510	0.0
104	Walk	Right	-0.1077	9.4358	2.8444	0.0225	-0.1122	-0.0480	0.0
155	Walk	Right	-0.2059	9.2563	2.5571	-0.0301	-0.0804	-0.0583	0.0
222	Walk	Right	-0.3184	9.5412	2.8181	-0.0038	-0.0297	-0.0565	0.0
288	Walk	Right	-0.2538	9.6202	2.9330	0.0011	-0.0236	-0.0247	0.0
337	Walk	Right	-0.0910	9.5029	3.2107	-0.0117	-0.0529	0.0199	0.0
405	Walk	Right	0.0575	9.6178	2.6720	0.0640	0.0980	0.0596	0.0
455	Walk	Right	0.3137	9.2299	3.5100	-0.0936	0.0180	0.1035	0.0
521	Walk	Right	-0.4022	9.2491	2.8516	0.0420	0.0815	0.0907	0.0
588	Walk	Right	-0.2873	9.2395	3.0982	0.0005	0.1487	0.0528	0.0
637	Walk	Right	-0.5722	9.3736	2.7726	0.0402	0.0754	0.0449	0.0
704	Walk	Right	-0.2418	9.2706	2.7127	0.0493	0.0754	0.0437	0.0
770	Walk	Right	-0.4525	9.1198	2.6337	0.0414	-0.0120	0.0626	0.0
820	Walk	Right	-0.1030	9.2323	2.2410	0.0060	0.0479	0.0638	0.0
886	Walk	Right	-0.1676	9.5196	2.4853	-0.0362	0.0106	-0.0938	0.0
952	Walk	Right	-1.1014	9.5532	2.7845	-0.0850	-0.1354	-0.1982	0.0
1003	Walk	Right	-0.5603	9.4718	2.7367	-0.0435	-0.1989	-0.1035	0.0
1069	Walk	Right	-0.3376	9.5077	2.8444	-0.0521	-0.1867	-0.0614	0.0
1118	Walk	Right	-0.3544	9.5316	2.6600	0.0384	-0.2276	-0.1261	0.0
1185	Walk	Right	-0.3496	9.4334	2.2746	0.0799	-0.1861	-0.1732	0.0
1251	Walk	Right	-0.4214	9.4789	2.4110	0.1361	-0.2282	-0.1359	0.0
1301	Walk	Right	-0.2753	9.7040	2.1668	0.1092	-0.2209	-0.0846	0.0
1368	Walk	Right	-0.3951	9.7232	2.3009	0.0842	-0.2569	0.0064	0.0
1418	Walk	Right	-0.3424	9.7495	2.2626	0.0634	-0.1525	0.0669	0.0
1485	Walk	Right	-0.1915	9.7327	2.7247	0.0469	-0.1171	0.0706	0.0
1551	Walk	Right	-0.1580	10.2571	2.7750	0.0744	-0.2117	0.0498	0.0
1604	Walk	Right	-1.1900	9.7998	3.4980	0.1110	-0.0877	0.0877	0.0
1666	Walk	Right	0.2706	8.9522	2.6457	-0.0386	-0.1855	0.0901	0.0
1715	Walk	Right	-0.6991	9.0384	2.5284	0.1593	-0.1274	0.1145	0.0
1783	Walk	Right	0.0287	8.8804	1.8220	0.1544	-0.2490	-0.1054	0.0
1849	Walk	Right	-0.4956	9.3305	2.7319	-0.0759	-0.0059	-0.1762	0.0
1915	Walk	Right	0.1820	9.1437	2.3272	-0.0197	-0.0651	-0.1353	0.0
1965	Walk	Right	-0.4884	9.3520	2.4757	0.0274	-0.1164	-0.1891	0.0
2031	Walk	Right	-0.1820	9.5843	2.5403	0.0555	-0.0902	-0.1597	0.0
2081	Walk	Right	-0.5267	9.7758	2.6792	0.0164	-0.1097	-0.0816	0.0
2147	Walk	Right	-0.2897	9.4813	2.3799	0.0634	-0.0499	0.0168	0.0
2197	Walk	Right	0.0479	9.5172	2.6002	0.0555	-0.0199	0.0932	0.0
2263	Walk	Right	-0.1149	9.8884	1.7191	0.0359	-0.0077	0.0425	0.0
2331	Walk	Right	-0.9745	10.0871	3.3592	-0.1034	0.1432	-0.0431	0.0
2380	Walk	Right	-0.7997	9.4287	2.4924	-0.0557	-0.0248	0.1377	0.0
2451	Walk	Right	0.1461	9.0551	1.4485	0.0988	-0.0083	0.1054	0.0
2501	Walk	Right	-0.6010	9.3951	2.2195	-0.0997	-0.0101	0.0095	0.0
