class acce0mean acce0var acce1mean acce1var acce2mean acce2var gyro0mean gyro0var gyro1mean gyro1var gyro2mean gyro2var
1 -0.218130 2.651566 9.796055 1824.926180 1.605250 51.889967 -0.054920 0.257188 0.028985 0.342930 0.008840 0.184200
1 -0.238600 2.874511 9.824905 1836.002014 1.592080 51.225742 -0.037145 0.311260 0.041260 0.396152 0.001420 0.170771
1 -0.252965 2.889485 9.841905 1842.399882 1.636970 54.475013 -0.031220 0.299022 0.055095 0.450850 -0.002525 0.160313
1 -0.241595 2.837940 9.858665 1848.596112 1.590880 52.092337 -0.012990 0.352476 0.063345 0.476141 -0.000695 0.163803
1 -0.253085 2.909285 9.819875 1834.562764 1.616140 53.577751 -0.000405 0.385139 0.073270 0.491479 -0.003050 0.158533
1 -0.236085 2.857353 9.785755 1822.054700 1.618295 53.691310 0.006620 0.396040 0.085300 0.509060 -0.003110 0.158480
1 -0.255000 2.931404 9.720875 1797.272787 1.599980 52.474173 0.015355 0.393210 0.096600 0.505423 0.003055 0.163745
1 -0.260025 2.915339 9.697890 1788.779663 1.571605 50.774669 0.030290 0.363405 0.107995 0.489668 0.014355 0.184521
1 -0.276785 2.871011 9.701365 1790.046297 1.544070 48.777217 0.041010 0.358224 0.115265 0.466788 0.032470 0.178999
1 -0.233325 2.454061 9.725785 1798.954831 1.558315 49.175729 0.050935 0.389369 0.116855 0.462819 0.051560 0.188773
1 -0.206505 2.239818 9.746975 1806.660770 1.531380 47.792447 0.060185 0.421161 0.117770 0.456373 0.062280 0.214395
1 -0.202435 2.174051 9.752360 1808.623057 1.515340 47.096291 0.071610 0.398062 0.106775 0.476236 0.057365 0.213125
1 -0.215965 2.191066 9.760025 1811.492048 1.522640 47.401650 0.079245 0.384923 0.089610 0.520562 0.048080 0.192322
1 -0.228650 2.259532 9.774510 1816.846160 1.520485 47.290980 0.086090 0.376549 0.071380 0.572135 0.036745 0.176258
1 -0.214400 2.266530 9.804075 1828.010833 1.499775 45.978054 0.094095 0.356071 0.057210 0.598443 0.031340 0.171016
1 -0.208895 2.189246 9.817960 1833.226372 1.431775 41.872728 0.102495 0.318736 0.039590 0.634684 0.031095 0.170989
1 -0.176570 2.542218 9.790785 1823.279961 1.398970 40.231321 0.100170 0.319510 0.027010 0.643120 0.025355 0.171176
1 -0.147955 2.380215 9.768995 1815.279453 1.334445 37.543430 0.096905 0.311762 0.015250 0.648838 0.020220 0.175056
1 -0.101150 2.187898 9.759655 1811.789026 1.282370 34.749649 0.085785 0.332342 -0.000205 0.618377 0.018175 0.180905
1 -0.091455 2.160506 9.754270 1809.779366 1.228260 31.869407 0.075645 0.335033 -0.017495 0.551193 0.018115 0.181010
1 -0.030880 1.442834 9.731405 1801.190898 1.224665 31.694025 0.064895 0.309583 -0.035030 0.524426 0.025870 0.170045
1 -0.008855 1.207469 9.698365 1788.555536 1.196415 30.715363 0.056160 0.253286 -0.054180 0.491005 0.030875 0.174035
1 0.005750 1.186512 9.680410 1781.799945 1.134405 26.595841 0.058145 0.255104 -0.075100 0.462862 0.033415 0.179175
1 0.015925 1.222820 9.677895 1780.854950 1.133805 26.575453 0.046235 0.191843 -0.090680 0.456353 0.031890 0.176185
