class gyro0mean gyro0var gyro1mean gyro1var gyro2mean gyro2var
0 -0.217895 0.927272 -0.012200 0.044570 -0.004955 0.010917
0 -0.220765 0.954334 -0.011590 0.044292 -0.002115 0.009608
0 -0.224640 0.993350 -0.011930 0.043778 0.000450 0.006878
0 -0.227300 1.019854 -0.011410 0.043522 -0.002300 0.007654
0 -0.224855 0.998627 -0.015960 0.042633 -0.003335 0.007133
0 -0.221400 0.972453 -0.014525 0.042042 -0.002815 0.007350
0 -0.229035 1.057412 -0.015015 0.044131 0.001005 0.008839
0 -0.232975 1.095859 -0.016055 0.045817 0.003475 0.009786
0 -0.239635 1.150280 -0.018160 0.043745 0.005215 0.011212
0 -0.246050 1.198548 -0.020265 0.040637 0.006770 0.011532
0 -0.250450 1.233429 -0.018280 0.038042 0.006860 0.011524
0 -0.257350 1.300195 -0.012845 0.041983 0.004810 0.012655
0 -0.264985 1.387781 -0.009515 0.047665 0.002335 0.015341
0 -0.272440 1.463886 -0.004810 0.064906 0.001815 0.015574
0 -0.273940 1.479609 0.002185 0.087798 -0.000900 0.015386
0 -0.278490 1.531167 0.005760 0.077624 -0.000655 0.015736
0 -0.285485 1.623152 -0.002885 0.122654 0.003740 0.018984
0 -0.299630 1.817177 -0.012900 0.174274 0.008720 0.024141
0 -0.306225 1.887112 -0.015040 0.174299 0.011925 0.024068
0 -0.310565 1.934362 -0.014155 0.173824 0.011805 0.024058
0 -0.316430 2.003024 -0.011435 0.173219 0.011070 0.023871
0 -0.320550 2.052575 -0.009630 0.174135 0.011990 0.024802
0 -0.318690 2.032709 -0.006755 0.181375 0.011500 0.024930
0 -0.320310 2.051321 -0.001805 0.189694 0.011470 0.024972
0 -0.325290 2.098643 0.005525 0.199049 0.010215 0.025524
0 -0.331340 2.149483 0.006960 0.200044 0.009725 0.025326
0 -0.327035 2.096740 0.014110 0.188253 0.006855 0.023169
0 -0.326305 2.088819 0.017075 0.185546 0.005665 0.022113
0 -0.327010 2.096529 0.017530 0.185662 0.003710 0.020681
0 -0.332630 2.164893 0.013745 0.189255 0.003010 0.020294
0 -0.338615 2.236155 0.007210 0.210082 0.004540 0.021157
0 -0.231305 1.080688 0.004175 0.155310 -0.016350 0.029668
0 -0.233535 1.099391 0.004020 0.155236 -0.016655 0.029558
0 -0.236805 1.130318 -0.007615 0.119986 -0.015005 0.030515
0 -0.241020 1.171946 -0.018060 0.087192 -0.017875 0.034530
0 -0.241965 1.182325 -0.016745 0.084600 -0.020535 0.038918
0 -0.237230 1.134223 -0.009720 0.063219 -0.022975 0.040042
0 -0.231975 1.097160 -0.006450 0.061663 -0.025235 0.040466
0 -0.231425 1.094287 0.000605 0.065133 -0.027835 0.038238
0 -0.236310 1.131482 0.006685 0.060906 -0.027745 0.038311
0 -0.242540 1.193615 0.008735 0.058414 -0.026095 0.038776
0 -0.242845 1.196893 0.009560 0.056503 -0.024660 0.039793
0 -0.242385 1.191808 0.001315 0.069604 -0.018490 0.037394
0 -0.241010 1.173781 0.000250 0.071951 -0.014430 0.039996
0 -0.240400 1.168294 0.000955 0.072414 -0.010490 0.037572
0 -0.235300 1.120455 0.001780 0.071281 -0.008045 0.036742
0 -0.231635 1.088690 -0.000660 0.074719 -0.006610 0.035463
0 -0.235940 1.122366 -0.003895 0.071515 -0.002700 0.028759
0 -0.236615 1.127140 -0.013180 0.053102 0.003165 0.022504
0 -0.237135 1.131828 -0.021460 0.048178 0.005975 0.025389
0 -0.237255 1.132697 -0.023265 0.049249 0.008235 0.025213
0 -0.235025 1.121092 -0.020060 0.047189 0.007135 0.024790
0 -0.229620 1.082623 -0.018010 0.049818 0.006220 0.024950
0 -0.222165 1.024458 -0.014710 0.048909 0.003620 0.024539
0 -0.212790 0.950817 -0.015170 0.049470 0.007315 0.020427
0 -0.207265 0.899909 -0.011535 0.049472 0.014035 0.019853
0 -0.207080 0.898382 -0.008265 0.052964 0.018095 0.020307
0 -0.212515 0.937375 -0.009790 0.052622 0.020935 0.020185
0 -0.221070 1.009720 -0.012170 0.046963 0.021670 0.020196
0 -0.221805 1.016987 -0.011710 0.047861 0.018370 0.022071
0 -0.218355 0.978610 -0.015745 0.055796 0.015380 0.023093
0 -0.215760 0.952961 -0.015565 0.055460 0.011835 0.023848
0 -0.212095 0.918282 -0.005550 0.046958 0.008600 0.021514
