class gyro0mean gyro0var gyro1mean gyro1var gyro2mean gyro2var
1 -0.054920 0.257188 0.028985 0.342930 0.008840 0.184200
1 -0.037145 0.311260 0.041260 0.396152 0.001420 0.170771
1 -0.031220 0.299022 0.055095 0.450850 -0.002525 0.160313
1 -0.012990 0.352476 0.063345 0.476141 -0.000695 0.163803
1 -0.000405 0.385139 0.073270 0.491479 -0.003050 0.158533
1 0.006620 0.396040 0.085300 0.509060 -0.003110 0.158480
1 0.015355 0.393210 0.096600 0.505423 0.003055 0.163745
1 0.030290 0.363405 0.107995 0.489668 0.014355 0.184521
1 0.041010 0.358224 0.115265 0.466788 0.032470 0.178999
1 0.050935 0.389369 0.116855 0.462819 0.051560 0.188773
1 0.060185 0.421161 0.117770 0.456373 0.062280 0.214395
1 0.071610 0.398062 0.106775 0.476236 0.057365 0.213125
1 0.079245 0.384923 0.089610 0.520562 0.048080 0.192322
1 0.086090 0.376549 0.071380 0.572135 0.036745 0.176258
1 0.094095 0.356071 0.057210 0.598443 0.031340 0.171016
1 0.102495 0.318736 0.039590 0.634684 0.031095 0.170989
1 0.100170 0.319510 0.027010 0.643120 0.025355 0.171176
1 0.096905 0.311762 0.015250 0.648838 0.020220 0.175056
1 0.085785 0.332342 -0.000205 0.618377 0.018175 0.180905
1 0.075645 0.335033 -0.017495 0.551193 0.018115 0.181010
1 0.064895 0.309583 -0.035030 0.524426 0.025870 0.170045
1 0.056160 0.253286 -0.054180 0.491005 0.030875 0.174035
1 0.058145 0.255104 -0.075100 0.462862 0.033415 0.179175
1 0.046235 0.191843 -0.090680 0.456353 0.031890 0.176185
1 0.041225 0.164165 -0.106165 0.461697 0.033145 0.178355
1 0.045745 0.191687 -0.124430 0.473449 0.033050 0.178283
1 0.053625 0.240895 -0.142020 0.515481 0.027065 0.173101
1 0.056250 0.253926 -0.158425 0.562753 0.014300 0.157418
1 0.060435 0.276664 -0.169300 0.606670 -0.007660 0.197004
1 0.057900 0.261283 -0.179230 0.658817 -0.024090 0.169208
1 0.043850 0.239839 -0.182835 0.685940 -0.040490 0.164344
1 0.049745 0.268986 -0.187230 0.718323 -0.045745 0.183282
1 0.042230 0.281115 -0.187935 0.724780 -0.046785 0.185041
1 0.035815 0.287299 -0.182745 0.685785 -0.041345 0.180864
1 0.036485 0.287983 -0.180060 0.669785 -0.029830 0.221779
1 0.037035 0.287575 -0.174500 0.634037 -0.023080 0.240847
1 0.038290 0.286780 -0.171235 0.621029 -0.013370 0.256853
1 0.042290 0.297914 -0.174810 0.643308 -0.007200 0.255154
1 0.049500 0.273949 -0.177255 0.655097 -0.007050 0.254619
1 0.054140 0.262778 -0.184430 0.694964 -0.012060 0.273261
1 0.055820 0.260711 -0.188095 0.719276 -0.023235 0.303463
1 0.040515 0.308866 -0.189560 0.728377 -0.033985 0.318371
1 0.036515 0.308278 -0.187635 0.716818 -0.040250 0.314160
1 0.031080 0.316918 -0.188640 0.722853 -0.045900 0.318442
1 0.021370 0.320107 -0.175935 0.706471 -0.047120 0.316122
1 0.006340 0.290884 -0.168480 0.670288 -0.039270 0.347573
1 -0.010915 0.246046 -0.160570 0.621254 -0.030320 0.367098
1 -0.022520 0.228459 -0.152140 0.570174 -0.023600 0.359746
1 -0.034585 0.198838 -0.144200 0.528540 -0.005365 0.300354
1 -0.042035 0.181937 -0.133755 0.475102 0.007065 0.301078
1 -0.034795 0.174558 -0.124775 0.425915 0.022670 0.299272
1 -0.039745 0.147380 -0.111215 0.373898 0.028595 0.278693
1 -0.029605 0.143297 -0.098080 0.316726 0.026180 0.286471
1 -0.025300 0.136086 -0.078685 0.357974 0.012645 0.342409
1 -0.026950 0.134845 -0.059380 0.408400 -0.002230 0.310761
1 -0.028965 0.137259 -0.043105 0.441804 -0.007420 0.293086
1 -0.022430 0.154311 -0.028230 0.486390 -0.010445 0.280067
1 -0.031990 0.147673 -0.008345 0.486043 -0.017345 0.283932
1 -0.034525 0.150957 0.009310 0.502092 -0.011970 0.276726
1 -0.037275 0.155016 0.031055 0.499257 0.001500 0.272072
1 -0.036725 0.154932 0.048190 0.470175 0.018875 0.267235
1 -0.024230 0.103539 0.062730 0.448788 0.034150 0.272016
1 -0.024655 0.104175 0.070855 0.428511 0.036565 0.269570
1 -0.019955 0.095850 0.079895 0.398510 0.039405 0.263765
